罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
窃盗,部品ねらい,小野,小田,282189,兵庫県,小野市,池田町,2023[sanitize]05[sanitize]17,16,道路上,その他,ナンバープレート
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,中町,2023[sanitize]09[sanitize]12,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,三田,あいの里,282197,兵庫県,三田市,下相野,2023[sanitize]11[sanitize]23,21,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,三田,あいの里,282197,兵庫県,三田市,つつじが丘北４丁目,2023[sanitize]10[sanitize]26,15,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,三田,ウッディタウン中央,282197,兵庫県,三田市,学園７丁目,2023[sanitize]02[sanitize]10,22,一戸建住宅,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,三田,フラワータウン,282197,兵庫県,三田市,貴志,2023[sanitize]10[sanitize]06,19,その他,駐車（輪）場,その他
窃盗,部品ねらい,三田,三田南,282197,兵庫県,三田市,天神１丁目,2023[sanitize]08[sanitize]04,13,その他,駐車（輪）場,その他
窃盗,部品ねらい,三田,三田南,282197,兵庫県,三田市,屋敷町,2023[sanitize]03[sanitize]30,17,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,三田,三田駅前,282197,兵庫県,三田市,中町,2023[sanitize]08[sanitize]02,18,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,三田,加茂,282197,兵庫県,三田市,末,2023[sanitize]07[sanitize]21,15,その他,駐車（輪）場,その他
窃盗,部品ねらい,三田,南ウッディタウン,282197,兵庫県,三田市,あかしあ台３丁目,2023[sanitize]07[sanitize]18,11,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,三田,広野,282197,兵庫県,三田市,上井沢,2023[sanitize]01[sanitize]15,11,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,三田,志手原,282197,兵庫県,三田市,大原,2023[sanitize]01[sanitize]03,08,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町西１丁目,2023[sanitize]04[sanitize]10,13,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町東４丁目,2023[sanitize]06[sanitize]30,09,その他,駐車（輪）場,その他
窃盗,部品ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中２丁目,2023[sanitize]06[sanitize]11,13,その他,その他,その他
