罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,小野,小野駅前,282189,兵庫県,小野市,敷地町,2021[sanitize]10[sanitize]03,14,その他,男性,70歳以上,あり
窃盗,ひったくり,灘,六甲,281026,兵庫県,神戸市灘区,六甲町５丁目,2021[sanitize]03[sanitize]11,22,道路上,女性,40歳代,あり
窃盗,ひったくり,灘,六甲,281026,兵庫県,神戸市灘区,六甲町５丁目,2021[sanitize]12[sanitize]02,21,道路上,女性,50歳代,あり
窃盗,ひったくり,生田,デュオこうべ,281107,兵庫県,神戸市中央区,中町通２丁目,2021[sanitize]01[sanitize]25,18,道路上,男性,10歳代,あり
窃盗,ひったくり,兵庫,皿池,281051,兵庫県,神戸市兵庫区,上沢通６丁目,2021[sanitize]10[sanitize]08,18,その他,女性,40歳代,なし
窃盗,ひったくり,兵庫,荒田,281051,兵庫県,神戸市兵庫区,荒田町２丁目,2021[sanitize]11[sanitize]25,18,その他,女性,60[sanitize]64歳,あり
窃盗,ひったくり,垂水,塩屋,281085,兵庫県,神戸市垂水区,塩屋町３丁目,2021[sanitize]02[sanitize]24,20,道路上,女性,60[sanitize]64歳,なし
窃盗,ひったくり,神戸西,有瀬,281115,兵庫県,神戸市西区,伊川谷町有瀬,2021[sanitize]11[sanitize]03,20,その他,女性,20歳代,なし
窃盗,ひったくり,神戸北,北鈴蘭台,281093,兵庫県,神戸市北区,甲栄台１丁目,2021[sanitize]02[sanitize]05,17,道路上,男性,70歳以上,なし
窃盗,ひったくり,西宮,苦楽園,282049,兵庫県,西宮市,苦楽園一番町,2021[sanitize]03[sanitize]07,14,道路上,女性,30歳代,あり
窃盗,ひったくり,甲子園,上甲子園,282049,兵庫県,西宮市,甲子園口２丁目,2021[sanitize]01[sanitize]06,22,道路上,女性,50歳代,あり
窃盗,ひったくり,甲子園,小松,282049,兵庫県,西宮市,甲子園六番町,2021[sanitize]03[sanitize]22,21,道路上,女性,50歳代,あり
窃盗,ひったくり,甲子園,本郷,282049,兵庫県,西宮市,甲子園七番町,2021[sanitize]10[sanitize]02,16,道路上,女性,10歳代,なし
窃盗,ひったくり,尼崎南,中央,282022,兵庫県,尼崎市,昭和南通６丁目,2021[sanitize]03[sanitize]21,20,道路上,女性,60[sanitize]64歳,あり
窃盗,ひったくり,尼崎南,中央,282022,兵庫県,尼崎市,東桜木町,2021[sanitize]01[sanitize]06,05,道路上,男性,60[sanitize]64歳,なし
窃盗,ひったくり,尼崎南,大島,282022,兵庫県,尼崎市,稲葉荘１丁目,2021[sanitize]03[sanitize]04,22,道路上,男性,10歳代,なし
窃盗,ひったくり,尼崎南,大島,282022,兵庫県,尼崎市,浜田町２丁目,2021[sanitize]01[sanitize]06,23,道路上,女性,10歳代,あり
窃盗,ひったくり,尼崎南,稲葉荘,282022,兵庫県,尼崎市,西立花町４丁目,2021[sanitize]01[sanitize]06,19,道路上,女性,60[sanitize]64歳,あり
窃盗,ひったくり,尼崎南,竹谷,282022,兵庫県,尼崎市,北竹谷町１丁目,2021[sanitize]03[sanitize]13,20,道路上,女性,70歳以上,あり
窃盗,ひったくり,尼崎南,竹谷,282022,兵庫県,尼崎市,西本町８丁目,2021[sanitize]03[sanitize]21,18,道路上,女性,50歳代,あり
窃盗,ひったくり,尼崎南,西難波,282022,兵庫県,尼崎市,西難波町５丁目,2021[sanitize]01[sanitize]06,06,道路上,女性,50歳代,あり
窃盗,ひったくり,尼崎東,下坂部,282022,兵庫県,尼崎市,久々知２丁目,2021[sanitize]02[sanitize]10,18,道路上,女性,50歳代,なし
窃盗,ひったくり,尼崎東,杭瀬,282022,兵庫県,尼崎市,杭瀬本町２丁目,2021[sanitize]07[sanitize]08,19,道路上,女性,70歳以上,あり
窃盗,ひったくり,宝塚,中山台,282146,兵庫県,宝塚市,中筋１丁目,2021[sanitize]05[sanitize]17,17,道路上,女性,70歳以上,なし
窃盗,ひったくり,宝塚,山本,282146,兵庫県,宝塚市,山本中３丁目,2021[sanitize]01[sanitize]05,20,道路上,男性,50歳代,なし
窃盗,ひったくり,三木,吉田,282154,兵庫県,三木市,志染町吉田,2021[sanitize]11[sanitize]12,05,道路上,女性,30歳代,なし
窃盗,ひったくり,飾磨,今宿,282014,兵庫県,姫路市,西今宿１丁目,2021[sanitize]03[sanitize]13,19,その他,男性,10歳代,あり
窃盗,ひったくり,たつの,西構,282294,兵庫県,たつの市,揖保町揖保中,2021[sanitize]10[sanitize]21,09,その他,女性,50歳代,なし
