罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,小野,河合,282189,兵庫県,小野市,三和町,2020/4/18,17,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,小野,栗生,282189,兵庫県,小野市,昭和町,2020/1/25,14,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,小野,下来住,282189,兵庫県,小野市,黍田町,2020/1/25,13,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,小野,小野駅前,282189,兵庫県,小野市,王子町,2020/1/26,10,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,小野,小野駅前,282189,兵庫県,小野市,王子町,2020/6/8,11,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,小野,小野駅前,282189,兵庫県,小野市,上本町,2020/3/4,20,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,小野,小野駅前,282189,兵庫県,小野市,北丘町,2020/2/15,14,その他,その他,施錠した,あり
窃盗,車上ねらい,小野,小野駅前,282189,兵庫県,小野市,北丘町,2020/3/3,14,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,小野,小野駅前,282189,兵庫県,小野市,広渡町,2020/5/23,14,その他,その他,施錠した,あり
窃盗,車上ねらい,小野,小野駅前,282189,兵庫県,小野市,敷地町,2020/8/1,14,道路上,その他,施錠した,あり
窃盗,車上ねらい,小野,小野駅前,282189,兵庫県,小野市,高田町,2020/1/14,15,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,小野,小野駅前,282189,兵庫県,小野市,中町,2020/1/14,17,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,小野,小野駅前,282189,兵庫県,小野市,本町,2020/1/18,21,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,小野,小野駅前,282189,兵庫県,小野市,住永町,2020/2/29,13,道路上,その他,施錠した,あり
窃盗,車上ねらい,小野,市場,282189,兵庫県,小野市,匠台,2020/2/1,7,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,小野,菅田,282189,兵庫県,小野市,福住町,2020/1/2,12,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,小野,小田,282189,兵庫県,小野市,万勝寺町,2020/1/25,15,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,三田,あいの里,282197,兵庫県,三田市,上相野,2020/3/21,16,道路上,その他,施錠した,あり
窃盗,車上ねらい,三田,四ツ辻,282197,兵庫県,三田市,長坂,2020/1/30,14,その他,その他,施錠した,あり
窃盗,車上ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町１丁目,2020/2/19,20,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町２丁目,2020/2/20,18,駐車（輪）場,駐車（輪）場,施錠した,なし
