罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町１丁目,20240216,13,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町２丁目,20240913,12,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町２丁目,20241206,12,道路上,その他,70歳以上,その他,施錠した
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町３丁目,20240501,20,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町３丁目,20240814,14,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町３丁目,20241012,17,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町４丁目,20240112,18,４階建て以上共同住宅,その他,65-69歳,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町４丁目,20240411,8,その他,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町４丁目,20240607,6,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町４丁目,20240615,12,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町４丁目,20240928,19,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町４丁目,20241031,19,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,20241207,9,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町１丁目,20240104,16,一戸建住宅,その他,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町１丁目,20240407,16,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町１丁目,20240625,16,道路上,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町１丁目,20240811,17,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町１丁目,20241118,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町３丁目,20240511,9,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町３丁目,20240815,14,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町３丁目,20240815,17,４階建て以上共同住宅,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町３丁目,20241006,19,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町３丁目,20240926,18,道路上,その他,30歳代,その他,施錠した
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町４丁目,20240802,23,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町１丁目,20240323,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町１丁目,20240522,22,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町１丁目,20240717,8,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町１丁目,20240725,18,４階建て以上共同住宅,その他,20歳代,大学生,施錠した
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町３丁目,20240928,22,道路上,その他,10歳代,その他,施錠した
