罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,小野,小野駅前,282189,兵庫県,小野市,敷地町,2021[sanitize]01[sanitize]28,22,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,小野,小野駅前,282189,兵庫県,小野市,中町,2019[sanitize]09[sanitize]17,12,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,小野,小野駅前,282189,兵庫県,小野市,中町,2021[sanitize]12[sanitize]25,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,小野,市場,282189,兵庫県,小野市,大島町,2021[sanitize]07[sanitize]11,20,その他,その他,施錠せず,あり
窃盗,車上ねらい,三田,ウッディタウン中央,282197,兵庫県,三田市,けやき台１丁目,2021[sanitize]06[sanitize]18,18,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,三田,ウッディタウン中央,282197,兵庫県,三田市,けやき台５丁目,2021[sanitize]02[sanitize]27,15,一戸建住宅,その他,施錠した,なし
窃盗,車上ねらい,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台１丁目,2021[sanitize]12[sanitize]10,18,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台４丁目,2021[sanitize]12[sanitize]10,20,４階建て以上共同住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台４丁目,2021[sanitize]12[sanitize]11,09,道路上,その他,施錠せず,あり
窃盗,車上ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2021[sanitize]12[sanitize]02,17,４階建て以上共同住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中７丁目,2021[sanitize]12[sanitize]18,21,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中７丁目,2021[sanitize]12[sanitize]18,22,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本３丁目,2021[sanitize]09[sanitize]30,20,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本３丁目,2021[sanitize]10[sanitize]03,20,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本６丁目,2021[sanitize]12[sanitize]17,13,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,森,281018,兵庫県,神戸市東灘区,本庄町１丁目,2021[sanitize]08[sanitize]11,16,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,東灘,森,281018,兵庫県,神戸市東灘区,本山中町１丁目,2021[sanitize]07[sanitize]20,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,森,281018,兵庫県,神戸市東灘区,森北町１丁目,2021[sanitize]07[sanitize]20,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,森,281018,兵庫県,神戸市東灘区,森南町１丁目,2021[sanitize]01[sanitize]30,16,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,東灘,森,281018,兵庫県,神戸市東灘区,森南町２丁目,2021[sanitize]07[sanitize]20,17,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町３丁目,2021[sanitize]07[sanitize]29,14,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町２丁目,2021[sanitize]06[sanitize]13,13,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町１丁目,2021[sanitize]08[sanitize]29,17,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり
