罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,小野,下来住,282189,兵庫県,小野市,黍田町,2021[sanitize]10[sanitize]14,17,その他,その他,あり
窃盗,自動販売機ねらい,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木４丁目,2021[sanitize]03[sanitize]24,20,その他,その他,あり
窃盗,自動販売機ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉宮町２丁目,2021[sanitize]04[sanitize]04,12,その他,その他,あり
窃盗,自動販売機ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉本町１丁目,2021[sanitize]11[sanitize]24,18,その他,その他,あり
窃盗,自動販売機ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,灘北通３丁目,2021[sanitize]04[sanitize]11,23,その他,その他,あり
窃盗,自動販売機ねらい,灘,西灘,281026,兵庫県,神戸市灘区,灘南通１丁目,2021[sanitize]11[sanitize]24,18,その他,その他,あり
窃盗,自動販売機ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,御幸通６丁目,2021[sanitize]10[sanitize]18,06,その他,その他,あり
窃盗,自動販売機ねらい,葺合,中尾前,281107,兵庫県,神戸市中央区,上筒井通５丁目,2020[sanitize]10[sanitize]06,08,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,中尾前,281107,兵庫県,神戸市中央区,熊内町５丁目,2020[sanitize]10[sanitize]06,08,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,中尾前,281107,兵庫県,神戸市中央区,野崎通３丁目,2020[sanitize]10[sanitize]14,08,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,中尾前,281107,兵庫県,神戸市中央区,野崎通４丁目,2020[sanitize]10[sanitize]14,08,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,中尾前,281107,兵庫県,神戸市中央区,野崎通７丁目,2020[sanitize]10[sanitize]14,08,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,生田町１丁目,2020[sanitize]07[sanitize]07,不明,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,生田町１丁目,2020[sanitize]08[sanitize]19,不明,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,宮本,281107,兵庫県,神戸市中央区,熊内橋通１丁目,2020[sanitize]01[sanitize]29,不明,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,宮本,281107,兵庫県,神戸市中央区,熊内橋通１丁目,2020[sanitize]04[sanitize]22,不明,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,宮本,281107,兵庫県,神戸市中央区,熊内橋通１丁目,2020[sanitize]07[sanitize]01,不明,駐車（輪）場,駐車（輪）場,あり
