罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,20241129,17,その他,その他,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町１丁目,20240912,18,４階建て以上共同住宅,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町１丁目,20241011,18,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町７丁目,20241212,1,道路上,その他,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20241208,14,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山中町４丁目,20240812,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木１丁目,20240220,12,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木１丁目,20240119,18,駐車（輪）場,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木２丁目,20240830,11,その他,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木２丁目,20241003,11,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町４丁目,20240816,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影石町２丁目,20240917,22,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影塚町４丁目,20240501,0,一戸建住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影郡家１丁目,20241011,1,道路上,その他,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,灘,高羽徳井,281026,兵庫県,神戸市灘区,徳井町２丁目,20241015,22,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,永手町５丁目,20240225,0,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,六甲,281026,兵庫県,神戸市灘区,将軍通２丁目,20240507,18,４階建て以上共同住宅,その他,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,水道筋,281026,兵庫県,神戸市灘区,福住通３丁目,20240602,16,道路上,その他,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,灘,赤坂,281026,兵庫県,神戸市灘区,国玉通３丁目,20240518,16,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,赤坂,281026,兵庫県,神戸市灘区,箕岡通１丁目,20240104,15,道路上,その他,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,桜口町５丁目,20240402,22,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,西灘,281026,兵庫県,神戸市灘区,摩耶海岸通１丁目,20240507,15,道路上,その他,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,灘,西灘,281026,兵庫県,神戸市灘区,摩耶海岸通１丁目,20240508,1,４階建て以上共同住宅,その他,キーなし,なし,その他
窃盗,オートバイ盗,灘,西灘,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,20241014,3,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,葺合,HAT神戸,281107,兵庫県,神戸市中央区,脇浜海岸通２丁目,20240815,5,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,葺合,中尾前,281107,兵庫県,神戸市中央区,上筒井通１丁目,20240102,19,一戸建住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,葺合,中尾前,281107,兵庫県,神戸市中央区,上筒井通１丁目,20240227,11,道路上,その他,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,葺合,中尾前,281107,兵庫県,神戸市中央区,上筒井通６丁目,20240120,18,その他の住宅（３階建て以下共同住宅等）,その他,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,葺合,中尾前,281107,兵庫県,神戸市中央区,野崎通３丁目,20240131,17,道路上,その他,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,葺合,熊内,281107,兵庫県,神戸市中央区,生田町１丁目,20240330,16,駐車（輪）場,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,葺合,熊内,281107,兵庫県,神戸市中央区,熊内町７丁目,20240501,8,駐車（輪）場,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,葺合,熊内,281107,兵庫県,神戸市中央区,熊内町７丁目,20240930,19,駐車（輪）場,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,葺合,熊内,281107,兵庫県,神戸市中央区,葺合町字布引山,20240310,11,駐車（輪）場,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,葺合,二宮,281107,兵庫県,神戸市中央区,琴ノ緒町４丁目,20240428,23,駐車（輪）場,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,葺合,小野柄,281107,兵庫県,神戸市中央区,北本町通６丁目,20240826,12,４階建て以上共同住宅,その他,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,葺合,春日野,281107,兵庫県,神戸市中央区,北本町通１丁目,20240630,22,駐車（輪）場,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,生田,諏訪山,281107,兵庫県,神戸市中央区,山本通３丁目,20231225,18,駐車（輪）場,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,生田,生田前,281107,兵庫県,神戸市中央区,加納町４丁目,20240308,21,道路上,その他,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通１丁目,20240103,23,駐車（輪）場,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通２丁目,20241103,17,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,生田,生田前,281107,兵庫県,神戸市中央区,中山手通１丁目,20241102,17,道路上,その他,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,生田,京町,281107,兵庫県,神戸市中央区,三宮町２丁目,20240423,14,道路上,その他,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,生田,元町駅,281107,兵庫県,神戸市中央区,北長狭通３丁目,20231227,20,駐車（輪）場,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,生田,元町駅,281107,兵庫県,神戸市中央区,北長狭通３丁目,20240807,11,駐車（輪）場,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,生田,元町駅,281107,兵庫県,神戸市中央区,北長狭通４丁目,20240311,13,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,生田,元町駅,281107,兵庫県,神戸市中央区,下山手通４丁目,20230523,17,道路上,その他,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,生田,元町通,281107,兵庫県,神戸市中央区,元町通５丁目,20241013,1,道路上,その他,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,生田,デュオこうべ,281107,兵庫県,神戸市中央区,東川崎町１丁目,20240225,15,駐車（輪）場,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,生田,ハーバーランド,281107,兵庫県,神戸市中央区,下山手通１丁目,20240510,10,その他,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,平野,281051,兵庫県,神戸市兵庫区,菊水町２丁目,20240123,19,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,荒田,281051,兵庫県,神戸市兵庫区,荒田町１丁目,20240125,15,道路上,その他,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,兵庫,荒田,281051,兵庫県,神戸市兵庫区,荒田町２丁目,20240901,9,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,荒田,281107,兵庫県,神戸市中央区,雲井通８丁目,20231211,21,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,福原,281051,兵庫県,神戸市兵庫区,西橘通１丁目,20240407,18,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,福原,281051,兵庫県,神戸市兵庫区,福原町,20241211,20,駐車（輪）場,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,兵庫,湊川,281051,兵庫県,神戸市兵庫区,水木通１丁目,20241121,20,道路上,その他,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,湊川,281051,兵庫県,神戸市兵庫区,二番町１丁目,20240109,12,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,新開地,281051,兵庫県,神戸市兵庫区,佐比江町,20241207,18,道路上,その他,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,兵庫,熊野,281051,兵庫県,神戸市兵庫区,北山町,20240816,14,道路上,その他,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,皿池,281051,兵庫県,神戸市兵庫区,上沢通３丁目,20240122,7,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,兵庫,皿池,281051,兵庫県,神戸市兵庫区,上沢通３丁目,20240919,17,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,兵庫,皿池,281051,兵庫県,神戸市兵庫区,上沢通８丁目,20240301,17,道路上,その他,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,大開通８丁目,20240810,9,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,羽坂通４丁目,20240325,8,駐車（輪）場,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,七宮,281051,兵庫県,神戸市兵庫区,門口町,20241106,15,駐車（輪）場,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,兵庫,明親,281051,兵庫県,神戸市兵庫区,駅南通２丁目,20231001,17,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,兵庫,明親,281051,兵庫県,神戸市兵庫区,駅南通５丁目,20240404,17,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,兵庫,明親,281051,兵庫県,神戸市兵庫区,駅南通５丁目,20240715,12,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,御崎公園,281051,兵庫県,神戸市兵庫区,浜中町１丁目,20240707,10,一戸建住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,丸山,281069,兵庫県,神戸市長田区,鶯町２丁目,20240613,18,その他,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,長田,名倉,281069,兵庫県,神戸市長田区,滝谷町１丁目,20241216,20,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,長田,名倉,281069,兵庫県,神戸市長田区,滝谷町３丁目,20240417,19,道路上,その他,キーなし,なし,その他
窃盗,オートバイ盗,長田,長田,281069,兵庫県,神戸市長田区,大塚町２丁目,20241018,12,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,長田,281069,兵庫県,神戸市長田区,長田町３丁目,20230919,1,道路上,その他,キーなし,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,長田,上池田,281069,兵庫県,神戸市長田区,上池田６丁目,20241009,11,道路上,その他,キーあり,なし,原動機付自転車（50cc未満）
窃盗,オートバイ盗,長田,長田東,281069,兵庫県,神戸市長田区,五番町７丁目,20240605,9,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc未満）
