罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎中町１丁目,2023[sanitize]06[sanitize]07,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,葺合,三宮センター,281107,兵庫県,神戸市中央区,八幡通３丁目,2023[sanitize]12[sanitize]26,23,道路上,女性,20歳代,あり
窃盗,ひったくり,葺合,宮本,281107,兵庫県,神戸市中央区,宮本通５丁目,2023[sanitize]01[sanitize]07,01,道路上,女性,60[sanitize]64歳,なし
窃盗,ひったくり,葺合,小野柄,281107,兵庫県,神戸市中央区,吾妻通３丁目,2023[sanitize]12[sanitize]26,22,道路上,女性,10歳代,あり
窃盗,ひったくり,葺合,熊内,281107,兵庫県,神戸市中央区,国香通６丁目,2023[sanitize]12[sanitize]26,22,道路上,女性,30歳代,なし
窃盗,ひったくり,生田,元町通,281107,兵庫県,神戸市中央区,元町通６丁目,2023[sanitize]12[sanitize]26,22,道路上,男性,20歳代,あり
窃盗,ひったくり,生田,元町駅,281107,兵庫県,神戸市中央区,海岸通１丁目,2023[sanitize]12[sanitize]26,22,道路上,女性,20歳代,あり
窃盗,ひったくり,生田,生田前,281107,兵庫県,神戸市中央区,加納町３丁目,2023[sanitize]12[sanitize]26,22,道路上,女性,30歳代,あり
窃盗,ひったくり,兵庫,明親,281051,兵庫県,神戸市兵庫区,駅南通５丁目,2023[sanitize]01[sanitize]04,21,道路上,女性,30歳代,なし
窃盗,ひったくり,長田,御蔵,281069,兵庫県,神戸市長田区,菅原通５丁目,2023[sanitize]10[sanitize]22,01,道路上,男性,30歳代,なし
窃盗,ひったくり,長田,湊川大橋,281069,兵庫県,神戸市長田区,梅ケ香町１丁目,2023[sanitize]01[sanitize]04,21,道路上,女性,10歳代,なし
窃盗,ひったくり,長田,長田東,281069,兵庫県,神戸市長田区,四番町３丁目,2023[sanitize]01[sanitize]05,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,須磨,若宮,281077,兵庫県,神戸市須磨区,鷹取町３丁目,2023[sanitize]10[sanitize]14,15,道路上,女性,50歳代,あり
窃盗,ひったくり,須磨,菅の台,281077,兵庫県,神戸市須磨区,竜が台６丁目,2023[sanitize]09[sanitize]08,18,道路上,女性,70歳以上,あり
窃盗,ひったくり,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,日向１丁目,2023[sanitize]12[sanitize]13,00,道路上,女性,30歳代,なし
窃盗,ひったくり,神戸西,枝吉,281115,兵庫県,神戸市西区,森友３丁目,2023[sanitize]07[sanitize]31,14,その他,女性,60[sanitize]64歳,あり
窃盗,ひったくり,西宮,二見,282049,兵庫県,西宮市,中島町,2023[sanitize]10[sanitize]31,00,道路上,女性,20歳代,なし
窃盗,ひったくり,西宮,西宮中央,282049,兵庫県,西宮市,高松町,2023[sanitize]11[sanitize]18,11,その他,男性,30歳代,なし
窃盗,ひったくり,尼崎南,中央,282022,兵庫県,尼崎市,神田北通２丁目,2023[sanitize]08[sanitize]11,05,道路上,女性,50歳代,あり
窃盗,ひったくり,尼崎南,東難波,282022,兵庫県,尼崎市,東難波町４丁目,2023[sanitize]09[sanitize]07,21,道路上,男性,70歳以上,なし
窃盗,ひったくり,伊丹,阪急駅前,282073,兵庫県,伊丹市,西台１丁目,2023[sanitize]12[sanitize]17,15,道路上,男性,70歳以上,あり
窃盗,ひったくり,明石,西新町,282031,兵庫県,明石市,西新町３丁目,2023[sanitize]12[sanitize]15,16,その他,男性,40歳代,なし
窃盗,ひったくり,加古川,両荘,282103,兵庫県,加古川市,平荘町磐,2023[sanitize]02[sanitize]05,07,道路上,女性,30歳代,なし
窃盗,ひったくり,加古川,本荘,283827,兵庫県,播磨町,北本荘１丁目,2023[sanitize]09[sanitize]02,14,道路上,女性,50歳代,なし
窃盗,ひったくり,姫路,野里,282014,兵庫県,姫路市,野里上野町１丁目,2023[sanitize]09[sanitize]26,11,道路上,男性,70歳以上,あり
