罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町２丁目,2025/2/12,9,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町７丁目,2024/12/20,12,道路上,その他,あり
窃盗,自動販売機ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町７丁目,2025/10/14,18,その他,その他,あり
窃盗,自動販売機ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本３丁目,2024/12/26,15,道路上,その他,あり
窃盗,自動販売機ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本５丁目,2025/1/5,2,道路上,その他,あり
窃盗,自動販売機ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,本山北町６丁目,2024/12/24,12,道路上,その他,あり
窃盗,自動販売機ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,2025/8/13,9,その他,その他,あり
窃盗,自動販売機ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町４丁目,2025/7/7,11,道路上,その他,あり
窃盗,自動販売機ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町３丁目,2025/10/11,10,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉本町１丁目,2025/1/5,1,その他,その他,あり
窃盗,自動販売機ねらい,灘,八幡,281026,兵庫県,神戸市灘区,永手町５丁目,2025/7/10,8,道路上,その他,あり
窃盗,自動販売機ねらい,灘,六甲,281026,兵庫県,神戸市灘区,稗原町２丁目,2025/7/14,8,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,灘,大石,281026,兵庫県,神戸市灘区,下河原通４丁目,2025/7/14,12,道路上,その他,あり
窃盗,自動販売機ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,泉通６丁目,2025/6/1,10,道路上,その他,あり
窃盗,自動販売機ねらい,葺合,ＨＡＴ神戸,281107,兵庫県,神戸市中央区,脇浜海岸通２丁目,2025/7/16,15,道路上,その他,あり
窃盗,自動販売機ねらい,葺合,ＨＡＴ神戸,281107,兵庫県,神戸市中央区,脇浜海岸通２丁目,2025/10/10,14,その他,その他,あり
窃盗,自動販売機ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,相生町３丁目,2025/6/21,14,その他,その他,あり
窃盗,自動販売機ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,中町通４丁目,2025/1/28,14,その他,その他,あり
窃盗,自動販売機ねらい,生田,ハーバーランド,281107,兵庫県,神戸市中央区,相生町３丁目,2025/2/16,22,道路上,その他,あり
窃盗,自動販売機ねらい,生田,元町通,281107,兵庫県,神戸市中央区,海岸通５丁目,2025/12/10,17,道路上,その他,あり
窃盗,自動販売機ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,西柳原町,2025/4/29,12,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,新開地３丁目,2025/1/31,8,道路上,その他,あり
窃盗,自動販売機ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,下沢通１丁目,2025/4/23,17,道路上,その他,あり
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,腕塚町３丁目,2025/11/13,17,道路上,その他,あり
窃盗,自動販売機ねらい,長田,野田,281069,兵庫県,神戸市長田区,海運町５丁目,2025/3/28,12,その他,その他,あり
窃盗,自動販売機ねらい,須磨,板宿,281077,兵庫県,神戸市須磨区,平田町３丁目,2025/7/25,9,その他,その他,あり
窃盗,自動販売機ねらい,須磨,横尾,281077,兵庫県,神戸市須磨区,横尾１丁目,2025/3/7,12,その他,その他,あり
窃盗,自動販売機ねらい,須磨,若宮,281077,兵庫県,神戸市須磨区,衣掛町４丁目,2025/5/9,3,駐車（輪）場,駐車（輪）場,なし
窃盗,自動販売機ねらい,垂水,舞子駅前,281085,兵庫県,神戸市垂水区,東舞子町,2025/6/4,12,その他,その他,あり
窃盗,自動販売機ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島中町８丁目,2025/7/29,15,道路上,その他,あり
窃盗,自動販売機ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島南町７丁目,2025/3/16,7,その他,その他,あり
窃盗,自動販売機ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島南町７丁目,2025/4/3,17,その他,その他,あり
窃盗,自動販売機ねらい,神戸水上,新港,281107,兵庫県,神戸市中央区,波止場町,2025/6/2,9,道路上,その他,あり
窃盗,自動販売機ねらい,神戸西,上池,281115,兵庫県,神戸市西区,玉津町今津,2025/8/5,9,道路上,その他,なし
窃盗,自動販売機ねらい,神戸西,神出,281115,兵庫県,神戸市西区,神出町東,2025/8/28,20,その他,その他,あり
窃盗,自動販売機ねらい,有馬,有野,281093,兵庫県,神戸市北区,有野町有野,2025/1/30,17,その他,その他,あり
窃盗,自動販売機ねらい,有馬,長尾,281093,兵庫県,神戸市北区,鹿の子台南町５丁目,2025/2/11,22,その他,その他,あり
窃盗,自動販売機ねらい,神戸北,鈴蘭台,281093,兵庫県,神戸市北区,山田町小部字広苅,2025/8/29,2,その他,その他,なし
窃盗,自動販売機ねらい,西宮,二見,282049,兵庫県,西宮市,中島町,2025/6/5,13,道路上,その他,あり
窃盗,自動販売機ねらい,西宮,北口西,282049,兵庫県,西宮市,甲風園１丁目,2025/1/8,13,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,西宮,札場筋,282049,兵庫県,西宮市,宮前町,2025/10/9,10,その他,その他,あり
窃盗,自動販売機ねらい,西宮,札場筋,282049,兵庫県,西宮市,六湛寺町,2025/8/23,14,道路上,その他,あり
窃盗,自動販売機ねらい,西宮,甲東園,282049,兵庫県,西宮市,田近野町,2025/5/19,17,その他,その他,あり
窃盗,自動販売機ねらい,西宮,社前,282049,兵庫県,西宮市,今津二葉町,2025/12/8,15,その他,その他,なし
窃盗,自動販売機ねらい,西宮,社前,282049,兵庫県,西宮市,津門住江町,2025/10/7,9,その他,その他,あり
窃盗,自動販売機ねらい,西宮,芦原,282049,兵庫県,西宮市,中前田町,2025/1/17,10,その他,その他,あり
窃盗,自動販売機ねらい,西宮,西宮中央,282049,兵庫県,西宮市,高畑町,2025/6/5,16,道路上,その他,あり
窃盗,自動販売機ねらい,西宮,西宮浜,282049,兵庫県,西宮市,西宮浜３丁目,2024/12/6,12,その他,その他,あり
窃盗,自動販売機ねらい,西宮,西宮駅前,282049,兵庫県,西宮市,津門大塚町,2025/7/11,19,その他,その他,あり
窃盗,自動販売機ねらい,甲子園,上田,282049,兵庫県,西宮市,上田西町,2025/4/10,10,その他,その他,あり
窃盗,自動販売機ねらい,甲子園,中津,282049,兵庫県,西宮市,甲子園高潮町,2025/7/1,13,道路上,その他,あり
窃盗,自動販売機ねらい,甲子園,本郷,282049,兵庫県,西宮市,甲子園八番町,2025/11/21,10,その他,その他,なし
窃盗,自動販売機ねらい,甲子園,高須,282049,兵庫県,西宮市,鳴尾浜１丁目,2025/4/17,10,その他,その他,あり
窃盗,自動販売機ねらい,尼崎南,中央,282022,兵庫県,尼崎市,東海岸町,2025/3/1,17,その他,その他,あり
窃盗,自動販売機ねらい,尼崎南,元浜,282022,兵庫県,尼崎市,道意町６丁目,2025/4/28,16,その他,その他,あり
窃盗,自動販売機ねらい,尼崎南,大物,282022,兵庫県,尼崎市,北初島町,2025/5/1,15,道路上,その他,あり
窃盗,自動販売機ねらい,尼崎南,大物,282022,兵庫県,尼崎市,南城内,2025/4/17,10,その他,その他,あり
窃盗,自動販売機ねらい,尼崎南,西難波,282022,兵庫県,尼崎市,西難波町６丁目,2025/2/12,18,その他,その他,あり
窃盗,自動販売機ねらい,尼崎東,下坂部,282022,兵庫県,尼崎市,下坂部３丁目,2025/6/26,9,その他,その他,あり
窃盗,自動販売機ねらい,尼崎東,下坂部,282022,兵庫県,尼崎市,名神町３丁目,2025/4/11,8,その他,その他,あり
窃盗,自動販売機ねらい,尼崎東,園田,282022,兵庫県,尼崎市,東園田町６丁目,2025/8/8,0,その他,その他,あり
窃盗,自動販売機ねらい,尼崎東,園田,282022,兵庫県,尼崎市,東園田町７丁目,2025/8/2,8,その他,その他,なし
窃盗,自動販売機ねらい,尼崎東,園田,282022,兵庫県,尼崎市,東園田町７丁目,2025/8/7,14,その他,その他,あり
窃盗,自動販売機ねらい,尼崎東,杭瀬,282022,兵庫県,尼崎市,東大物町１丁目,2025/2/14,17,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎東,潮江,282022,兵庫県,尼崎市,潮江１丁目,2025/4/10,11,その他,その他,あり
窃盗,自動販売機ねらい,尼崎東,潮江,282022,兵庫県,尼崎市,潮江５丁目,2025/3/27,12,道路上,その他,あり
窃盗,自動販売機ねらい,尼崎東,潮江,282022,兵庫県,尼崎市,次屋２丁目,2025/10/6,14,その他,その他,あり
窃盗,自動販売機ねらい,尼崎東,潮江,282022,兵庫県,尼崎市,浜１丁目,2025/2/25,21,その他,その他,あり
窃盗,自動販売機ねらい,尼崎東,長洲,282022,兵庫県,尼崎市,長洲西通１丁目,2025/3/24,11,その他,その他,あり
窃盗,自動販売機ねらい,尼崎東,長洲,282022,兵庫県,尼崎市,金楽寺町１丁目,2025/6/23,7,その他,その他,あり
窃盗,自動販売機ねらい,尼崎東,長洲,282022,兵庫県,尼崎市,西長洲町１丁目,2025/3/11,12,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎東,長洲,282022,兵庫県,尼崎市,西長洲町１丁目,2025/4/13,12,道路上,その他,あり
窃盗,自動販売機ねらい,尼崎東,長洲,282022,兵庫県,尼崎市,西長洲町１丁目,2025/9/20,15,道路上,その他,あり
窃盗,自動販売機ねらい,尼崎東,食満,282022,兵庫県,尼崎市,猪名寺２丁目,2025/8/20,17,道路上,その他,なし
窃盗,自動販売機ねらい,尼崎北,南武庫之荘,282022,兵庫県,尼崎市,南武庫之荘４丁目,2025/6/9,8,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎北,塚口東,282022,兵庫県,尼崎市,塚口本町６丁目,2025/7/30,6,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎北,塚口西,282022,兵庫県,尼崎市,塚口町１丁目,2025/5/3,4,道路上,その他,あり
窃盗,自動販売機ねらい,尼崎北,尾浜,282022,兵庫県,尼崎市,名神町１丁目,2025/5/20,12,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎北,生島,282022,兵庫県,尼崎市,大西町３丁目,2025/9/23,12,その他,その他,あり
窃盗,自動販売機ねらい,尼崎北,生島,282022,兵庫県,尼崎市,栗山町１丁目,2025/7/8,12,その他,その他,あり
窃盗,自動販売機ねらい,尼崎北,立花駅前,282022,兵庫県,尼崎市,三反田町３丁目,2025/6/6,13,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎北,西昆陽,282022,兵庫県,尼崎市,西昆陽１丁目,2025/2/17,11,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎北,西昆陽,282022,兵庫県,尼崎市,武庫の里２丁目,2025/5/12,6,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,伊丹,昆陽,282073,兵庫県,伊丹市,昆陽池１丁目,2025/5/2,17,その他,その他,あり
