罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,小野,小野駅前,282189,兵庫県,小野市,中町,2018[sanitize]09[sanitize]01,00,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,三田,ウッディタウン中央,282197,兵庫県,三田市,けやき台１丁目,2022[sanitize]03[sanitize]10,13,その他,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,三田,三田駅前,282197,兵庫県,三田市,駅前町,2022[sanitize]05[sanitize]27,18,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,三田,三田駅前,282197,兵庫県,三田市,中町,2021[sanitize]11[sanitize]11,12,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,三田,志手原,282197,兵庫県,三田市,大原,2022[sanitize]09[sanitize]09,22,一戸建住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中１丁目,2022[sanitize]08[sanitize]14,19,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本３丁目,2022[sanitize]06[sanitize]30,21,その他,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,岡本,281018,兵庫県,神戸市東灘区,本山北町３丁目,2022[sanitize]07[sanitize]12,01,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影中町２丁目,2022[sanitize]10[sanitize]22,16,一戸建住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影中町３丁目,2022[sanitize]09[sanitize]27,17,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町１丁目,2022[sanitize]05[sanitize]13,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町３丁目,2022[sanitize]10[sanitize]29,05,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木３丁目,2022[sanitize]08[sanitize]14,19,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉宮町４丁目,2022[sanitize]10[sanitize]22,21,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉宮町５丁目,2016[sanitize]09[sanitize]21,19,道路上,その他,キーなし,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉本町１丁目,2022[sanitize]04[sanitize]20,21,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
