罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,武庫が丘１丁目,2023[sanitize]04[sanitize]29,09,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,武庫が丘７丁目,2023[sanitize]02[sanitize]17,10,道路上,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,富士が丘２丁目,2023[sanitize]03[sanitize]22,13,その他,その他,10歳代,小学生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2022[sanitize]12[sanitize]26,17,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2022[sanitize]12[sanitize]28,12,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2023[sanitize]01[sanitize]25,16,その他,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2023[sanitize]03[sanitize]08,18,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2023[sanitize]03[sanitize]23,08,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2023[sanitize]03[sanitize]28,13,その他,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2023[sanitize]06[sanitize]11,14,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2023[sanitize]06[sanitize]15,08,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2023[sanitize]06[sanitize]15,16,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2023[sanitize]07[sanitize]20,08,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2023[sanitize]10[sanitize]26,19,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2023[sanitize]10[sanitize]30,19,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2023[sanitize]11[sanitize]11,08,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,相生町,2023[sanitize]04[sanitize]17,13,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,相生町,2023[sanitize]06[sanitize]29,07,その他,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,相生町,2023[sanitize]08[sanitize]06,12,道路上,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,対中町,2023[sanitize]11[sanitize]03,19,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,寺村町,2023[sanitize]06[sanitize]10,01,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,天神１丁目,2023[sanitize]12[sanitize]20,23,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,天神３丁目,2023[sanitize]03[sanitize]10,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,天神３丁目,2023[sanitize]06[sanitize]09,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,天神３丁目,2023[sanitize]10[sanitize]28,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,西山１丁目,2023[sanitize]08[sanitize]11,20,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,西山１丁目,2023[sanitize]09[sanitize]04,16,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,南が丘１丁目,2023[sanitize]05[sanitize]23,12,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,南が丘１丁目,2023[sanitize]07[sanitize]29,13,一戸建住宅,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,南が丘２丁目,2023[sanitize]07[sanitize]10,13,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,南が丘２丁目,2023[sanitize]08[sanitize]22,15,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,南が丘２丁目,2023[sanitize]09[sanitize]10,14,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,南が丘２丁目,2023[sanitize]11[sanitize]20,15,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,南が丘２丁目,2023[sanitize]12[sanitize]07,16,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,横山町,2023[sanitize]05[sanitize]17,21,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,横山町,2023[sanitize]05[sanitize]24,23,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,三田町,2023[sanitize]02[sanitize]27,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,三田町,2023[sanitize]03[sanitize]25,12,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,三田町,2023[sanitize]05[sanitize]01,18,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,三田町,2023[sanitize]05[sanitize]19,00,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,三田町,2023[sanitize]06[sanitize]11,20,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田南,282197,兵庫県,三田市,三田町,2023[sanitize]06[sanitize]19,08,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,大原,2023[sanitize]02[sanitize]24,22,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,高次１丁目,2023[sanitize]05[sanitize]12,21,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,高次１丁目,2023[sanitize]07[sanitize]12,20,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,高次１丁目,2023[sanitize]10[sanitize]01,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,福島,2022[sanitize]02[sanitize]01,00,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,三輪４丁目,2023[sanitize]02[sanitize]16,22,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,相生町,2023[sanitize]04[sanitize]13,06,一戸建住宅,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,駅前町,2023[sanitize]09[sanitize]20,07,道路上,その他,30歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,中央町,2023[sanitize]07[sanitize]09,02,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,中央町,2023[sanitize]07[sanitize]18,17,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,中央町,2023[sanitize]08[sanitize]01,17,その他,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,中央町,2023[sanitize]08[sanitize]21,22,４階建て以上共同住宅,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,中央町,2023[sanitize]11[sanitize]19,13,４階建て以上共同住宅,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,三田,三田駅前,282197,兵庫県,三田市,三田町,2023[sanitize]04[sanitize]14,00,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠せず
窃盗,自転車盗,三田,加茂,282197,兵庫県,三田市,上井沢,2023[sanitize]03[sanitize]13,18,一戸建住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,福島,2023[sanitize]06[sanitize]09,11,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,,2023[sanitize]10[sanitize]25,22,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,あかしあ台４丁目,2023[sanitize]01[sanitize]09,14,その他,その他,10歳代,小学生,施錠せず
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,あかしあ台４丁目,2023[sanitize]01[sanitize]15,15,その他,その他,10歳代,小学生,施錠せず
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台２丁目,2023[sanitize]12[sanitize]18,06,その他,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台３丁目,2023[sanitize]03[sanitize]04,12,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台３丁目,2023[sanitize]07[sanitize]13,18,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台３丁目,2023[sanitize]08[sanitize]12,11,道路上,その他,10歳代,その他,施錠せず
窃盗,自転車盗,三田,南ウッディタウン,282197,兵庫県,三田市,すずかけ台３丁目,2023[sanitize]09[sanitize]20,22,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,三田,広野,282197,兵庫県,三田市,広野,2023[sanitize]09[sanitize]27,06,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,,282197,兵庫県,三田市,西山１丁目,2023[sanitize]07[sanitize]14,00,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町東３丁目,2023[sanitize]03[sanitize]03,07,道路上,その他,50歳代,その他,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中１丁目,2023[sanitize]02[sanitize]25,15,その他,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中１丁目,2023[sanitize]04[sanitize]14,08,その他,その他,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中１丁目,2023[sanitize]06[sanitize]09,09,その他,その他,50歳代,その他,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中１丁目,2023[sanitize]06[sanitize]21,19,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中１丁目,2023[sanitize]06[sanitize]28,17,その他,駐車（輪）場,10歳代,小学生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中１丁目,2023[sanitize]12[sanitize]01,14,道路上,その他,10歳代,大学生,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中１丁目,不明,不明,道路上,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中２丁目,2023[sanitize]01[sanitize]08,14,道路上,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中２丁目,2023[sanitize]08[sanitize]24,19,道路上,その他,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中２丁目,2023[sanitize]09[sanitize]13,20,道路上,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中２丁目,2023[sanitize]10[sanitize]18,07,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中２丁目,2023[sanitize]11[sanitize]03,14,道路上,その他,10歳代,小学生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中３丁目,2022[sanitize]11[sanitize]15,18,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中３丁目,2023[sanitize]01[sanitize]27,18,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中３丁目,2023[sanitize]10[sanitize]11,17,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中３丁目,2023[sanitize]10[sanitize]27,18,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中４丁目,2023[sanitize]02[sanitize]22,08,その他,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2022[sanitize]12[sanitize]27,20,４階建て以上共同住宅,駐車（輪）場,60[sanitize]64歳,その他,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2023[sanitize]01[sanitize]11,17,道路上,その他,10歳代,小学生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2023[sanitize]01[sanitize]19,19,その他,その他,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2023[sanitize]03[sanitize]09,08,道路上,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2023[sanitize]04[sanitize]16,17,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2023[sanitize]05[sanitize]23,21,道路上,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2023[sanitize]05[sanitize]24,08,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2023[sanitize]08[sanitize]02,17,道路上,その他,40歳代,その他,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2023[sanitize]09[sanitize]12,15,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2023[sanitize]11[sanitize]04,06,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2023[sanitize]11[sanitize]28,11,その他,その他,60[sanitize]64歳,その他,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中６丁目,2023[sanitize]09[sanitize]19,09,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中６丁目,2023[sanitize]09[sanitize]20,07,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中６丁目,2023[sanitize]11[sanitize]04,07,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中６丁目,2023[sanitize]12[sanitize]12,07,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町１丁目,2023[sanitize]07[sanitize]23,11,その他,その他,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町２丁目,2023[sanitize]11[sanitize]15,18,４階建て以上共同住宅,駐車（輪）場,10歳代,小学生,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町４丁目,2022[sanitize]12[sanitize]26,20,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町４丁目,2023[sanitize]03[sanitize]15,21,４階建て以上共同住宅,その他,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町４丁目,2023[sanitize]09[sanitize]27,09,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町４丁目,2023[sanitize]11[sanitize]02,09,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町４丁目,2023[sanitize]11[sanitize]18,23,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町３丁目,2023[sanitize]01[sanitize]20,09,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町３丁目,2023[sanitize]07[sanitize]20,21,その他,駐車（輪）場,30歳代,大学生,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町５丁目,2023[sanitize]10[sanitize]20,16,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町５丁目,2023[sanitize]11[sanitize]20,16,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町２丁目,2023[sanitize]05[sanitize]20,16,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町３丁目,2023[sanitize]08[sanitize]12,23,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町３丁目,2023[sanitize]11[sanitize]06,08,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町４丁目,2023[sanitize]07[sanitize]28,04,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町４丁目,2023[sanitize]10[sanitize]19,02,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町６丁目,2023[sanitize]04[sanitize]24,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2023[sanitize]01[sanitize]24,09,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2023[sanitize]02[sanitize]20,22,道路上,その他,20歳代,大学生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2023[sanitize]02[sanitize]23,17,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2023[sanitize]03[sanitize]24,18,道路上,その他,20歳代,大学生,施錠せず
