罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,小野,下来住,282189,兵庫県,小野市,下来住町,2023[sanitize]09[sanitize]15,07,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,小野,下来住,282189,兵庫県,小野市,下来住町,2023[sanitize]09[sanitize]24,20,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,王子町,2023[sanitize]08[sanitize]19,17,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,王子町,2023[sanitize]11[sanitize]24,16,その他,その他,70歳以上,その他,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,神明町,2023[sanitize]06[sanitize]15,16,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,田園町,2023[sanitize]10[sanitize]02,17,４階建て以上共同住宅,駐車（輪）場,10歳代,小学生,施錠した
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,中町,2023[sanitize]11[sanitize]25,17,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,西本町,2023[sanitize]03[sanitize]08,07,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,西本町,2023[sanitize]03[sanitize]10,18,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,西本町,2023[sanitize]10[sanitize]21,07,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,葉多町,2023[sanitize]08[sanitize]27,08,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,小野,小野駅前,282189,兵庫県,小野市,本町,2023[sanitize]07[sanitize]06,05,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,小野,栗生,282189,兵庫県,小野市,粟生町,2023[sanitize]06[sanitize]12,07,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,小野,河合,282189,兵庫県,小野市,新部町,2023[sanitize]07[sanitize]21,17,一戸建住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,小野,河合,282189,兵庫県,小野市,新部町,2023[sanitize]07[sanitize]24,16,一戸建住宅,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,三田,あいの里,282197,兵庫県,三田市,藍本,2023[sanitize]06[sanitize]23,07,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,三田,あいの里,282197,兵庫県,三田市,下相野,2023[sanitize]10[sanitize]14,12,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,三田,あいの里,282197,兵庫県,三田市,下相野,2023[sanitize]11[sanitize]25,10,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,けやき台１丁目,2023[sanitize]10[sanitize]19,19,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,けやき台１丁目,2023[sanitize]10[sanitize]22,15,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,けやき台１丁目,2023[sanitize]10[sanitize]27,19,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,けやき台１丁目,2023[sanitize]12[sanitize]25,12,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,けやき台３丁目,2023[sanitize]08[sanitize]22,19,一戸建住宅,駐車（輪）場,10歳未満,小学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,,2023[sanitize]06[sanitize]27,13,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,学園２丁目,2023[sanitize]10[sanitize]09,12,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,ゆりのき台１丁目,2023[sanitize]09[sanitize]21,07,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,ゆりのき台１丁目,2023[sanitize]12[sanitize]13,07,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,三田,ウッディタウン中央,282197,兵庫県,三田市,,2023[sanitize]10[sanitize]19,15,その他,駐車（輪）場,10歳代,大学生,施錠せず
