罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,小野,下来住,282189,兵庫県,小野市,来住町,2018-01-21,02,駐車（輪）場,その他
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,上本町,2018-02-16,20,駐車（輪）場,その他
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,黒川町,2018-07-01,21,駐車（輪）場,その他
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,神明町,2018-09-22,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,西本町,2018-11-01,20,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,小野,市場,282189,兵庫県,小野市,樫山町,2018-02-28,19,その他,ナンバープレート
窃盗,部品ねらい,小野,菅田,282189,兵庫県,小野市,久保木町,2018-03-19,15,その他,その他
窃盗,部品ねらい,小野,菅田,282189,兵庫県,小野市,久保木町,2018-07-24,17,その他,その他
窃盗,部品ねらい,小野,小田,282189,兵庫県,小野市,小田町,2018-04-28,10,駐車（輪）場,その他
窃盗,部品ねらい,小野,小田,282189,兵庫県,小野市,万勝寺町,2018-03-22,19,その他,その他
窃盗,部品ねらい,三田,三田駅前,282197,兵庫県,三田市,駅前町,2018-09-13,06,駐車（輪）場,その他
窃盗,部品ねらい,三田,三田駅前,282197,兵庫県,三田市,中央町,2018-08-31,12,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,三田,広野,282197,兵庫県,三田市,広野,2018-04-10,06,駐車（輪）場,その他
窃盗,部品ねらい,三田,上高平,282197,兵庫県,三田市,小柿,2018-02-20,17,駐車（輪）場,その他
窃盗,部品ねらい,三田,上高平,282197,兵庫県,三田市,布木,2018-03-14,16,その他,その他
窃盗,部品ねらい,三田,あいの里,282197,兵庫県,三田市,大川瀬,2018-03-15,14,その他,その他
窃盗,部品ねらい,三田,あいの里,282197,兵庫県,三田市,上相野,2018-07-04,18,その他,その他
窃盗,部品ねらい,三田,あいの里,282197,兵庫県,三田市,下相野,2018-06-21,20,一戸建住宅,その他
窃盗,部品ねらい,三田,あいの里,282197,兵庫県,三田市,西相野,2018-06-23,18,その他,その他
窃盗,部品ねらい,三田,フラワータウン,282197,兵庫県,三田市,武庫が丘４丁目,2018-08-18,22,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,三田,フラワータウン,282197,兵庫県,三田市,武庫が丘７丁目,2017-10-10,10,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2018-03-22,17,駐車（輪）場,その他
窃盗,部品ねらい,三田,南ウッディタウン,282197,兵庫県,三田市,福島,2018-02-22,17,その他,その他
窃盗,部品ねらい,三田,ウッディタウン中央,282197,兵庫県,三田市,けやき台２丁目,2018-08-17,12,その他,ナンバープレート
窃盗,部品ねらい,三田,ウッディタウン中央,282197,兵庫県,三田市,ゆりのき台１丁目,2018-08-11,21,４階建て以上共同住宅,その他
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町２丁目,2018-11-02,16,駐車（輪）場,その他
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町３丁目,2018-05-27,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町４丁目,2018-04-29,13,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町４丁目,2018-05-02,21,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町４丁目,2018-05-03,09,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町４丁目,2018-07-15,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,森,281018,兵庫県,神戸市東灘区,本庄町１丁目,2018-10-25,11,駐車（輪）場,その他
窃盗,部品ねらい,東灘,森,281018,兵庫県,神戸市東灘区,本山南町１丁目,2018-03-16,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,森,281018,兵庫県,神戸市東灘区,本山南町６丁目,2018-05-26,16,駐車（輪）場,その他
窃盗,部品ねらい,東灘,森,281018,兵庫県,神戸市東灘区,森北町６丁目,2018-04-26,22,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,東灘,森,281018,兵庫県,神戸市東灘区,森南町１丁目,2018-07-12,21,駐車（輪）場,その他
窃盗,部品ねらい,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本７丁目,2018-06-24,08,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,魚崎中町１丁目,2018-09-26,16,駐車（輪）場,その他
窃盗,部品ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,魚崎中町２丁目,2018-04-25,21,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,田中町２丁目,2018-07-20,12,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎北町１丁目,2018-05-20,00,道路上,その他
