罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,三田,フラワータウン,282197,兵庫県,三田市,狭間が丘２丁目,2019[sanitize]05[sanitize]30,17,一戸建住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,三田,三田南,282197,兵庫県,三田市,横山町,2023[sanitize]05[sanitize]01,00,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,三田,志手原,282197,兵庫県,三田市,香下,2023[sanitize]08[sanitize]23,21,一戸建住宅,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中６丁目,2022[sanitize]09[sanitize]12,20,駐車（輪）場,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2023[sanitize]04[sanitize]16,08,道路上,その他,キーなし,なし,その他
窃盗,オートバイ盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2023[sanitize]09[sanitize]02,16,駐車（輪）場,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町１丁目,2021[sanitize]02[sanitize]10,17,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,東灘,田中,281018,兵庫県,神戸市東灘区,田中町２丁目,2023[sanitize]04[sanitize]28,21,駐車（輪）場,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影石町２丁目,2023[sanitize]07[sanitize]31,23,道路上,その他,キーなし,なし,その他
窃盗,オートバイ盗,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影石町２丁目,2023[sanitize]10[sanitize]24,23,駐車（輪）場,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影塚町２丁目,2023[sanitize]04[sanitize]30,16,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎北町２丁目,2023[sanitize]07[sanitize]23,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉本町１丁目,2023[sanitize]03[sanitize]30,20,その他,その他,キーあり,なし,その他
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,宮山町２丁目,2023[sanitize]11[sanitize]18,16,駐車（輪）場,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,灘,六甲,281026,兵庫県,神戸市灘区,神前町２丁目,2022[sanitize]05[sanitize]20,16,道路上,その他,キーあり,あり,その他
窃盗,オートバイ盗,灘,大石,281026,兵庫県,神戸市灘区,新在家南町３丁目,2023[sanitize]12[sanitize]20,02,道路上,その他,キーあり,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,深田町３丁目,2023[sanitize]05[sanitize]25,08,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,深田町４丁目,2023[sanitize]11[sanitize]08,13,４階建て以上共同住宅,駐車（輪）場,キーあり,あり,その他
