罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,小野,小野駅前,282189,兵庫県,小野市,王子町,2019-08-27,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,三田,三田南,282197,兵庫県,三田市,寺村町,2019-10-14,20,その他,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,三田,加茂,282197,兵庫県,三田市,福島,2019-02-11,13,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,三田,南ウッディタウン,282197,兵庫県,三田市,福島,2013-02-01,00,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町２丁目,2019-10-15,18,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2019-11-17,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木１丁目,2019-02-08,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木３丁目,2019-12-15,10,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町３丁目,2019-11-08,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影石町３丁目,2019-02-07,23,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,阪急御影駅前,281018,兵庫県,神戸市東灘区,御影山手１丁目,2017-09-20,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,高羽,281026,兵庫県,神戸市灘区,一王山町,2019-02-19,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,徳井,281026,兵庫県,神戸市灘区,徳井町２丁目,2019-03-24,22,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,備後町２丁目,2019-02-08,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,六甲,281026,兵庫県,神戸市灘区,神前町４丁目,2019-08-03,10,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,六甲,281026,兵庫県,神戸市灘区,篠原南町５丁目,2019-05-23,19,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,六甲,281026,兵庫県,神戸市灘区,稗原町３丁目,2019-07-10,11,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,水道筋,281026,兵庫県,神戸市灘区,城内通４丁目,2019-07-10,19,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,王子公園,281026,兵庫県,神戸市灘区,王子町１丁目,2019-11-22,18,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,新在家南町２丁目,2019-02-19,21,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,浜田町３丁目,2019-09-15,10,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,備後町３丁目,2019-08-10,05,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,備後町４丁目,2019-04-25,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葺合,熊内,281107,兵庫県,神戸市中央区,熊内町７丁目,2019-07-20,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葺合,割塚,281107,兵庫県,神戸市中央区,東雲通３丁目,2019-11-30,10,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,諏訪山,281107,兵庫県,神戸市中央区,再度筋町,2018-03-20,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,生田,生田前,281107,兵庫県,神戸市中央区,加納町３丁目,2012-10-15,17,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通１丁目,2018-11-14,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通２丁目,2019-11-27,12,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,生田前,281107,兵庫県,神戸市中央区,中山手通２丁目,2019-06-12,11,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,元町駅,281107,兵庫県,神戸市中央区,下山手通３丁目,2019-07-09,14,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,元町駅,281107,兵庫県,神戸市中央区,下山手通４丁目,2019-11-20,18,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,下山手,281107,兵庫県,神戸市中央区,中山手通７丁目,2018-12-28,16,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,大倉山,281107,兵庫県,神戸市中央区,楠町７丁目,2019-06-06,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
