罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
窃盗,部品ねらい,灘,赤坂,281026,兵庫県,神戸市灘区,天城通８丁目,2022[sanitize]03[sanitize]15,02,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,鶴甲,281026,兵庫県,神戸市灘区,水車新田字滝ノ下,2022[sanitize]01[sanitize]06,11,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,旭通２丁目,2022[sanitize]05[sanitize]18,15,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,旭通３丁目,2022[sanitize]04[sanitize]06,14,その他,駐車（輪）場,その他
窃盗,部品ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,八幡通３丁目,2022[sanitize]05[sanitize]18,20,その他,その他,ナンバープレート
窃盗,部品ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,二宮町３丁目,2022[sanitize]05[sanitize]13,19,その他,その他,ナンバープレート
窃盗,部品ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,二宮町４丁目,2022[sanitize]06[sanitize]26,15,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,割塚,281107,兵庫県,神戸市中央区,東雲通１丁目,2022[sanitize]03[sanitize]29,20,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,葺合,割塚,281107,兵庫県,神戸市中央区,東雲通１丁目,2022[sanitize]05[sanitize]11,16,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,葺合,割塚,281107,兵庫県,神戸市中央区,筒井町１丁目,2022[sanitize]03[sanitize]27,10,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,葺合,割塚,281107,兵庫県,神戸市中央区,筒井町３丁目,2022[sanitize]12[sanitize]15,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,割塚,281107,兵庫県,神戸市中央区,八雲通３丁目,2022[sanitize]03[sanitize]27,09,道路上,その他,その他
窃盗,部品ねらい,葺合,割塚,281107,兵庫県,神戸市中央区,八雲通３丁目,2022[sanitize]04[sanitize]13,09,道路上,その他,その他
窃盗,部品ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,吾妻通５丁目,2022[sanitize]05[sanitize]08,12,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,雲井通３丁目,2022[sanitize]05[sanitize]18,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,春日野,281107,兵庫県,神戸市中央区,北本町通２丁目,2022[sanitize]09[sanitize]08,08,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,葺合,春日野,281107,兵庫県,神戸市中央区,脇浜町３丁目,2022[sanitize]08[sanitize]28,21,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,葺合,春日野,281107,兵庫県,神戸市中央区,割塚通１丁目,2022[sanitize]03[sanitize]21,20,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,葺合,ＨＡＴ神戸,281107,兵庫県,神戸市中央区,脇浜海岸通２丁目,2022[sanitize]02[sanitize]11,11,その他,駐車（輪）場,その他
窃盗,部品ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,相生町３丁目,2022[sanitize]09[sanitize]09,07,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,相生町３丁目,2022[sanitize]12[sanitize]23,18,その他,駐車（輪）場,その他
窃盗,部品ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,栄町通７丁目,2022[sanitize]06[sanitize]27,00,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,中町通３丁目,2022[sanitize]12[sanitize]18,15,道路上,その他,その他
窃盗,部品ねらい,生田,下山手,281107,兵庫県,神戸市中央区,楠町７丁目,2022[sanitize]11[sanitize]04,10,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,生田,下山手,281107,兵庫県,神戸市中央区,下山手通７丁目,2022[sanitize]05[sanitize]27,14,その他,駐車（輪）場,その他
窃盗,部品ねらい,生田,下山手,281107,兵庫県,神戸市中央区,中山手通７丁目,2022[sanitize]02[sanitize]05,21,その他の住宅（３階建て以下共同住宅等）,その他,その他
窃盗,部品ねらい,生田,下山手,281107,兵庫県,神戸市中央区,花隈町,2022[sanitize]11[sanitize]15,14,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,生田,京町,281107,兵庫県,神戸市中央区,江戸町,2022[sanitize]05[sanitize]30,15,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,楠町１丁目,2022[sanitize]01[sanitize]12,07,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,楠町４丁目,2022[sanitize]01[sanitize]17,08,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,楠町７丁目,2022[sanitize]02[sanitize]07,09,道路上,その他,その他
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,楠町７丁目,2022[sanitize]10[sanitize]13,08,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,橘通１丁目,2022[sanitize]11[sanitize]28,11,道路上,その他,ナンバープレート
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,橘通４丁目,2022[sanitize]04[sanitize]02,12,道路上,その他,その他
窃盗,部品ねらい,生田,生田前,281107,兵庫県,神戸市中央区,加納町４丁目,2022[sanitize]10[sanitize]17,08,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,生田,生田前,281107,兵庫県,神戸市中央区,中山手通１丁目,2022[sanitize]03[sanitize]20,05,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,生田,諏訪山,281107,兵庫県,神戸市中央区,山本通３丁目,2022[sanitize]02[sanitize]10,06,道路上,その他,その他
窃盗,部品ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,西宮内町,2022[sanitize]11[sanitize]24,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,湊町４丁目,2022[sanitize]08[sanitize]14,14,その他,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,出在家町２丁目,2021[sanitize]12[sanitize]30,10,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,駅前通１丁目,2022[sanitize]06[sanitize]10,13,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,駅南通５丁目,2022[sanitize]07[sanitize]21,17,その他,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,大開,281051,兵庫県,神戸市兵庫区,大開通８丁目,2022[sanitize]04[sanitize]01,00,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,大開,281051,兵庫県,神戸市兵庫区,塚本通６丁目,2022[sanitize]12[sanitize]23,19,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,菊水町２丁目,2022[sanitize]06[sanitize]27,19,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,下祇園町,2022[sanitize]10[sanitize]31,13,一戸建住宅,その他,その他
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,雪御所町,2022[sanitize]03[sanitize]21,13,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,御崎公園,281051,兵庫県,神戸市兵庫区,遠矢浜町,2022[sanitize]01[sanitize]19,17,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,兵庫,御崎公園,281051,兵庫県,神戸市兵庫区,三石通３丁目,2022[sanitize]05[sanitize]16,18,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,新開地４丁目,2022[sanitize]07[sanitize]15,19,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,駅南通５丁目,2021[sanitize]07[sanitize]01,00,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,駅南通５丁目,2022[sanitize]07[sanitize]08,16,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,駅南通５丁目,2022[sanitize]07[sanitize]22,11,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,松原通２丁目,2022[sanitize]11[sanitize]06,13,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,下沢通１丁目,2022[sanitize]12[sanitize]02,16,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,水木通１丁目,2022[sanitize]04[sanitize]13,09,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,水木通３丁目,2022[sanitize]06[sanitize]10,12,道路上,その他,その他
窃盗,部品ねらい,兵庫,福原,281051,兵庫県,神戸市兵庫区,西多聞通１丁目,2022[sanitize]06[sanitize]13,18,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,福原,281051,兵庫県,神戸市兵庫区,福原町,2022[sanitize]08[sanitize]28,09,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,長田,丸山,281069,兵庫県,神戸市長田区,東丸山町,2019[sanitize]06[sanitize]14,15,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,久保,281069,兵庫県,神戸市長田区,二葉町５丁目,2022[sanitize]07[sanitize]25,18,その他,駐車（輪）場,その他
窃盗,部品ねらい,長田,名倉,281069,兵庫県,神戸市長田区,長田天神町４丁目,2021[sanitize]11[sanitize]01,17,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,御蔵,281069,兵庫県,神戸市長田区,北町２丁目,2022[sanitize]10[sanitize]03,17,その他,駐車（輪）場,その他
窃盗,部品ねらい,長田,御蔵,281069,兵庫県,神戸市長田区,北町３丁目,2022[sanitize]03[sanitize]04,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,長田,新長田駅前,281069,兵庫県,神戸市長田区,若松町４丁目,2022[sanitize]01[sanitize]29,20,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,長田,野田,281069,兵庫県,神戸市長田区,駒ケ林南町,2022[sanitize]12[sanitize]09,17,道路上,その他,ナンバープレート
窃盗,部品ねらい,長田,野田,281069,兵庫県,神戸市長田区,日吉町５丁目,2022[sanitize]02[sanitize]21,12,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,長田,野田,281069,兵庫県,神戸市長田区,本庄町５丁目,2022[sanitize]07[sanitize]12,11,道路上,その他,その他
窃盗,部品ねらい,長田,野田,281069,兵庫県,神戸市長田区,本庄町５丁目,2022[sanitize]07[sanitize]20,07,道路上,その他,その他
窃盗,部品ねらい,長田,長田東,281069,兵庫県,神戸市長田区,五番町８丁目,2022[sanitize]11[sanitize]03,09,その他,駐車（輪）場,その他
窃盗,部品ねらい,須磨,千歳,281077,兵庫県,神戸市須磨区,大池町４丁目,2022[sanitize]05[sanitize]08,21,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,名谷中央,281077,兵庫県,神戸市須磨区,北落合５丁目,2022[sanitize]05[sanitize]10,19,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,須磨,名谷中央,281077,兵庫県,神戸市須磨区,中落合２丁目,2022[sanitize]07[sanitize]05,12,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,須磨,名谷中央,281077,兵庫県,神戸市須磨区,中落合２丁目,2022[sanitize]10[sanitize]10,12,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,須磨,名谷中央,281077,兵庫県,神戸市須磨区,中落合３丁目,2022[sanitize]05[sanitize]07,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,須磨,名谷中央,281077,兵庫県,神戸市須磨区,西落合５丁目,2022[sanitize]12[sanitize]09,20,一戸建住宅,その他,カーナビ
窃盗,部品ねらい,須磨,妙法寺,281077,兵庫県,神戸市須磨区,妙法寺字アチラムキ,2022[sanitize]06[sanitize]21,04,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,須磨,妙法寺,281077,兵庫県,神戸市須磨区,妙法寺字池ノ谷,2022[sanitize]12[sanitize]10,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,板宿,281077,兵庫県,神戸市須磨区,平田町２丁目,2022[sanitize]10[sanitize]21,16,道路上,その他,ナンバープレート
窃盗,部品ねらい,須磨,白川台,281077,兵庫県,神戸市須磨区,白川台５丁目,2022[sanitize]11[sanitize]11,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,若宮,281077,兵庫県,神戸市須磨区,磯馴町２丁目,2022[sanitize]08[sanitize]10,19,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,須磨,須磨寺,281077,兵庫県,神戸市須磨区,高倉町１丁目,2022[sanitize]03[sanitize]29,17,道路上,その他,その他
窃盗,部品ねらい,須磨,須磨駅前,281077,兵庫県,神戸市須磨区,須磨浦通５丁目,2022[sanitize]05[sanitize]10,22,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,須磨駅前,281077,兵庫県,神戸市須磨区,行幸町２丁目,2022[sanitize]11[sanitize]29,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,須磨,高倉台,281077,兵庫県,神戸市須磨区,高倉台３丁目,2022[sanitize]07[sanitize]20,14,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,須磨,高倉台,281077,兵庫県,神戸市須磨区,高倉台４丁目,2022[sanitize]10[sanitize]14,19,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,垂水,上高丸,281085,兵庫県,神戸市垂水区,上高丸３丁目,2022[sanitize]07[sanitize]06,19,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,垂水,上高丸,281085,兵庫県,神戸市垂水区,星が丘３丁目,2022[sanitize]11[sanitize]23,10,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,垂水,名谷,281085,兵庫県,神戸市垂水区,名谷町,2022[sanitize]05[sanitize]05,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,旭が丘３丁目,2022[sanitize]04[sanitize]01,14,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,天ノ下町,2022[sanitize]10[sanitize]11,18,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,垂水,塩屋,281085,兵庫県,神戸市垂水区,塩屋町４丁目,2022[sanitize]08[sanitize]29,16,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,垂水,多聞,281085,兵庫県,神戸市垂水区,舞多聞東１丁目,2022[sanitize]02[sanitize]10,18,その他,その他,ナンバープレート
窃盗,部品ねらい,垂水,平尾,281085,兵庫県,神戸市垂水区,城が山２丁目,2022[sanitize]10[sanitize]16,23,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,垂水,新多聞,281085,兵庫県,神戸市垂水区,本多聞５丁目,2022[sanitize]01[sanitize]06,15,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,垂水,新多聞,281085,兵庫県,神戸市垂水区,学が丘４丁目,2022[sanitize]09[sanitize]29,17,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,垂水,明舞,281085,兵庫県,神戸市垂水区,南多聞台３丁目,2022[sanitize]07[sanitize]28,17,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,垂水,明舞,281085,兵庫県,神戸市垂水区,南多聞台７丁目,2022[sanitize]05[sanitize]02,17,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,垂水,舞子駅前,281085,兵庫県,神戸市垂水区,東舞子町,2022[sanitize]11[sanitize]02,09,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,垂水,西舞子,281085,兵庫県,神戸市垂水区,西舞子２丁目,2022[sanitize]01[sanitize]05,15,その他,駐車（輪）場,その他
窃盗,部品ねらい,垂水,西舞子,281085,兵庫県,神戸市垂水区,西舞子２丁目,2022[sanitize]01[sanitize]11,03,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,垂水,西舞子,281085,兵庫県,神戸市垂水区,西舞子２丁目,不明,不明,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,垂水,西舞子,281085,兵庫県,神戸市垂水区,西舞子３丁目,2022[sanitize]09[sanitize]06,07,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,垂水,西舞子,281085,兵庫県,神戸市垂水区,西舞子５丁目,2022[sanitize]11[sanitize]12,12,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,垂水,高丸,281085,兵庫県,神戸市垂水区,千鳥が丘２丁目,2022[sanitize]07[sanitize]12,09,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島１丁目,2022[sanitize]10[sanitize]03,15,その他,その他,ナンバープレート
窃盗,部品ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島２丁目,2022[sanitize]11[sanitize]02,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島中町１丁目,2022[sanitize]03[sanitize]23,08,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島中町３丁目,2022[sanitize]06[sanitize]22,14,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島中町３丁目,2022[sanitize]11[sanitize]02,10,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島中町３丁目,2022[sanitize]11[sanitize]02,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島中町６丁目,2022[sanitize]11[sanitize]02,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,神戸水上,中突堤,281107,兵庫県,神戸市中央区,波止場町,2022[sanitize]11[sanitize]30,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,神戸水上,中突堤,281107,兵庫県,神戸市中央区,波止場町,2022[sanitize]12[sanitize]06,17,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,神戸水上,中突堤,281107,兵庫県,神戸市中央区,波止場町,2022[sanitize]12[sanitize]09,15,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,神戸水上,新港,281107,兵庫県,神戸市中央区,新港町,2022[sanitize]07[sanitize]05,20,駐車（輪）場,駐車（輪）場,カーナビ
窃盗,部品ねらい,神戸西,井吹台,281115,兵庫県,神戸市西区,井吹台西町１丁目,2022[sanitize]09[sanitize]18,22,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,神戸西,伊川谷,281115,兵庫県,神戸市西区,北別府３丁目,2021[sanitize]12[sanitize]01,00,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,神戸西,伊川谷,281115,兵庫県,神戸市西区,北別府３丁目,2022[sanitize]08[sanitize]01,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,神戸西,伊川谷,281115,兵庫県,神戸市西区,池上４丁目,2022[sanitize]04[sanitize]29,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,神戸西,伊川谷,281115,兵庫県,神戸市西区,池上４丁目,2022[sanitize]07[sanitize]22,09,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
