罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
窃盗,部品ねらい,小野,下来住,282189,兵庫県,小野市,下来住町,2022[sanitize]05[sanitize]10,07,その他,駐車（輪）場,その他
窃盗,部品ねらい,小野,小田,282189,兵庫県,小野市,小田町,2022[sanitize]05[sanitize]14,23,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,小野,小田,282189,兵庫県,小野市,小田町,2022[sanitize]06[sanitize]10,00,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,天神町,2022[sanitize]01[sanitize]21,16,一戸建住宅,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,三田,フラワータウン,282197,兵庫県,三田市,弥生が丘１丁目,2022[sanitize]06[sanitize]22,15,その他,駐車（輪）場,その他
窃盗,部品ねらい,三田,三田南,282197,兵庫県,三田市,対中町,2022[sanitize]06[sanitize]07,19,その他,その他,その他
窃盗,部品ねらい,三田,三田南,282197,兵庫県,三田市,対中町,2022[sanitize]06[sanitize]14,19,その他,その他,その他
窃盗,部品ねらい,三田,三田駅前,282197,兵庫県,三田市,駅前町,2022[sanitize]06[sanitize]20,07,その他,駐車（輪）場,その他
窃盗,部品ねらい,三田,上高平,282197,兵庫県,三田市,田中,2022[sanitize]07[sanitize]24,15,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,三田,志手原,282197,兵庫県,三田市,香下,2022[sanitize]06[sanitize]01,17,その他,その他,その他
窃盗,部品ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中２丁目,2022[sanitize]03[sanitize]10,07,その他,駐車（輪）場,その他
窃盗,部品ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中４丁目,2022[sanitize]02[sanitize]05,15,その他,駐車（輪）場,その他
窃盗,部品ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2022[sanitize]10[sanitize]20,00,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町２丁目,2022[sanitize]05[sanitize]12,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,2022[sanitize]03[sanitize]24,21,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町９丁目,2021[sanitize]12[sanitize]31,11,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影石町１丁目,2022[sanitize]03[sanitize]05,15,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影石町１丁目,2022[sanitize]03[sanitize]14,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎中町１丁目,2022[sanitize]07[sanitize]07,19,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎中町１丁目,2022[sanitize]12[sanitize]23,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町５丁目,2022[sanitize]06[sanitize]18,15,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,,,,,,2021[sanitize]12[sanitize]27,15,その他,その他,その他
窃盗,部品ねらい,東灘,,281018,兵庫県,神戸市東灘区,,2022[sanitize]06[sanitize]01,不明,その他,その他,ナンバープレート
窃盗,部品ねらい,灘,大石,281026,兵庫県,神戸市灘区,新在家南町３丁目,2022[sanitize]06[sanitize]16,10,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,灘,徳井,281026,兵庫県,神戸市灘区,記田町５丁目,2022[sanitize]05[sanitize]11,09,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,桜口,281026,兵庫県,神戸市灘区,新在家南町１丁目,2022[sanitize]08[sanitize]10,19,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,赤坂通１丁目,2022[sanitize]05[sanitize]06,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,天城通３丁目,2022[sanitize]05[sanitize]07,07,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,篠原南町６丁目,2022[sanitize]12[sanitize]21,11,その他,駐車（輪）場,その他
窃盗,部品ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,福住通２丁目,2022[sanitize]05[sanitize]10,15,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,王子公園,281026,兵庫県,神戸市灘区,王子町１丁目,2022[sanitize]06[sanitize]14,11,その他,駐車（輪）場,その他
窃盗,部品ねらい,灘,琵琶町,281026,兵庫県,神戸市灘区,大石東町２丁目,2022[sanitize]04[sanitize]11,03,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,灘,琵琶町,281026,兵庫県,神戸市灘区,大石東町２丁目,2022[sanitize]04[sanitize]12,17,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,西灘,281026,兵庫県,神戸市灘区,船寺通１丁目,2022[sanitize]01[sanitize]04,17,道路上,その他,その他
窃盗,部品ねらい,灘,西灘,281026,兵庫県,神戸市灘区,船寺通１丁目,2022[sanitize]01[sanitize]07,13,道路上,その他,その他
窃盗,部品ねらい,灘,西灘,281026,兵庫県,神戸市灘区,船寺通１丁目,2022[sanitize]01[sanitize]24,06,その他,駐車（輪）場,その他
窃盗,部品ねらい,灘,西灘,281026,兵庫県,神戸市灘区,船寺通１丁目,2022[sanitize]01[sanitize]25,01,４階建て以上共同住宅,駐車（輪）場,その他
