罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,天神町,2025/1/1,20,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,小野,小野駅前,282189,兵庫県,小野市,天神町,2025/5/13,19,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,三田,四ツ辻,282197,兵庫県,三田市,長坂,2025/8/16,19,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町西２丁目,2025/12/25,23,道路上,その他,ナンバープレート
窃盗,部品ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町１丁目,2025/8/22,8,その他,駐車（輪）場,その他
窃盗,部品ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町１丁目,2025/8/22,8,その他,駐車（輪）場,その他
窃盗,部品ねらい,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影石町２丁目,2025/6/27,16,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影石町２丁目,2025/10/24,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影中町３丁目,2025/10/14,8,その他,駐車（輪）場,その他
窃盗,部品ねらい,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影本町２丁目,2025/6/23,16,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,本山中町４丁目,2025/7/8,21,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町２丁目,2025/7/4,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町２丁目,2025/9/4,17,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町６丁目,2025/5/17,23,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東灘,鴨子ヶ原,281018,兵庫県,神戸市東灘区,住吉台,不明,不明,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,,,,,,2025/9/9,8,その他,その他,その他
窃盗,部品ねらい,灘,八幡,281026,兵庫県,神戸市灘区,永手町５丁目,2025/12/5,7,その他,駐車（輪）場,その他
窃盗,部品ねらい,灘,八幡,281026,兵庫県,神戸市灘区,宮山町３丁目,2025/10/3,15,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,六甲山上,281026,兵庫県,神戸市灘区,摩耶山町,2025/5/1,1,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,大石,281026,兵庫県,神戸市灘区,大石東町３丁目,2025/6/17,6,道路上,その他,その他
窃盗,部品ねらい,灘,桜口,281026,兵庫県,神戸市灘区,友田町５丁目,2025/10/27,19,その他,その他,その他
窃盗,部品ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,灘北通５丁目,2025/5/1,9,その他,駐車（輪）場,その他
窃盗,部品ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,灘北通５丁目,2025/5/16,10,その他,駐車（輪）場,その他
