罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,小野,小野駅前,282189,兵庫県,小野市,黒川町,2020/1/31,18,その他,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,三田,三田南,282197,兵庫県,三田市,南が丘１丁目,2017/10/1,不明,その他の住宅（３階建て以下共同住宅等）,その他,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,三田,三田駅前,282197,兵庫県,三田市,駅前町,2020/9/1,17,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,三田,四ツ辻,282197,兵庫県,三田市,東本庄,2020/9/12,7,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町１丁目,2019/12/22,1,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,森,281018,兵庫県,神戸市東灘区,本庄町１丁目,2020/11/13,18,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2020/10/4,9,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2020/10/5,6,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2020/10/16,8,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町８丁目,2020/6/19,5,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎北町１丁目,不明,不明,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影塚町４丁目,2020/3/31,10,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,高羽,281026,兵庫県,神戸市灘区,桜ケ丘町,2020/1/1,9,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,篠原北町,281026,兵庫県,神戸市灘区,篠原北町４丁目,2020/2/3,7,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,篠原北町,281026,兵庫県,神戸市灘区,篠原北町４丁目,2020/2/3,19,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,永手町５丁目,2020/10/5,22,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,水道筋,281026,兵庫県,神戸市灘区,水道筋５丁目,2019/9/2,8,４階建て以上共同住宅,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,永手町４丁目,2020/1/19,21,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,備後町５丁目,2020/8/14,17,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,深田町４丁目,2020/10/26,20,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,鶴甲３丁目,2020/10/9,14,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,六甲台町,2020/2/3,0,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葺合,二宮,281107,兵庫県,神戸市中央区,琴ノ緒町４丁目,2020/11/16,12,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,生田前,281107,兵庫県,神戸市中央区,下山手通２丁目,2020/8/2,10,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,生田前,281107,兵庫県,神戸市中央区,中山手通１丁目,2019/12/20,17,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,元町駅,281107,兵庫県,神戸市中央区,北長狭通３丁目,2020/2/27,11,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,生田,下山手,281107,兵庫県,神戸市中央区,下山手通７丁目,2020/5/31,17,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,生田,ハーバーランド,281107,兵庫県,神戸市中央区,東川崎町１丁目,2020/8/24,17,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,荒田,281051,兵庫県,神戸市兵庫区,荒田町４丁目,2020/12/18,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,新開地,281051,兵庫県,神戸市兵庫区,新開地４丁目,2020/8/6,19,道路上,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,皿池,281051,兵庫県,神戸市兵庫区,上沢通８丁目,2020/3/15,16,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,中之島,281051,兵庫県,神戸市兵庫区,切戸町,2020/1/29,9,その他,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,名倉,281069,兵庫県,神戸市長田区,高取山町１丁目,2020/4/24,20,道路上,その他,キーあり,なし,自動二輪（50cc超）
