罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,葺合,三宮センター,281107,兵庫県,神戸市中央区,浜辺通３丁目,2022[sanitize]09[sanitize]22,06,道路上,男性,30歳代,なし
窃盗,ひったくり,生田,京町,281107,兵庫県,神戸市中央区,三宮町１丁目,2022[sanitize]03[sanitize]12,17,その他,女性,30歳代,なし
窃盗,ひったくり,生田,生田前,281107,兵庫県,神戸市中央区,加納町４丁目,2022[sanitize]03[sanitize]17,16,道路上,女性,10歳代,なし
窃盗,ひったくり,兵庫,明親,281051,兵庫県,神戸市兵庫区,松原通１丁目,2022[sanitize]10[sanitize]03,17,道路上,男性,50歳代,なし
窃盗,ひったくり,長田,水笠,281069,兵庫県,神戸市長田区,戸崎通１丁目,2022[sanitize]12[sanitize]27,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,須磨,千歳,281077,兵庫県,神戸市須磨区,大田町２丁目,2022[sanitize]02[sanitize]03,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,須磨,板宿,281077,兵庫県,神戸市須磨区,前池町３丁目,2022[sanitize]02[sanitize]03,16,道路上,女性,60[sanitize]64歳,なし
窃盗,ひったくり,須磨,板宿,281077,兵庫県,神戸市須磨区,前池町４丁目,2022[sanitize]01[sanitize]26,18,道路上,女性,50歳代,あり
窃盗,ひったくり,芦屋,芦屋駅前,282065,兵庫県,芦屋市,親王塚町,2022[sanitize]07[sanitize]15,02,道路上,男性,20歳代,なし
窃盗,ひったくり,西宮,西宮中央,282049,兵庫県,西宮市,高松町,2022[sanitize]10[sanitize]23,02,その他,男性,20歳代,あり
窃盗,ひったくり,甲子園,中津,282049,兵庫県,西宮市,甲子園九番町,2022[sanitize]04[sanitize]09,10,その他,女性,60[sanitize]64歳,あり
窃盗,ひったくり,甲子園,小松,282049,兵庫県,西宮市,里中町３丁目,2022[sanitize]04[sanitize]06,09,その他,女性,70歳以上,あり
窃盗,ひったくり,尼崎南,センタープール前,282022,兵庫県,尼崎市,大庄川田町,2022[sanitize]03[sanitize]20,18,道路上,女性,20歳代,なし
窃盗,ひったくり,尼崎南,センタープール前,282022,兵庫県,尼崎市,大庄川田町,2022[sanitize]04[sanitize]10,21,道路上,女性,40歳代,なし
窃盗,ひったくり,尼崎南,センタープール前,282022,兵庫県,尼崎市,崇徳院２丁目,2022[sanitize]03[sanitize]15,19,道路上,女性,40歳代,あり
窃盗,ひったくり,尼崎南,センタープール前,282022,兵庫県,尼崎市,大庄西町１丁目,2022[sanitize]03[sanitize]14,18,道路上,女性,50歳代,あり
窃盗,ひったくり,尼崎南,センタープール前,282022,兵庫県,尼崎市,大庄西町４丁目,2022[sanitize]04[sanitize]14,20,道路上,女性,50歳代,なし
窃盗,ひったくり,尼崎南,中央,282022,兵庫県,尼崎市,神田中通３丁目,2022[sanitize]08[sanitize]27,02,道路上,男性,20歳代,あり
窃盗,ひったくり,尼崎南,大島,282022,兵庫県,尼崎市,浜田町５丁目,2022[sanitize]04[sanitize]04,19,道路上,女性,50歳代,あり
窃盗,ひったくり,尼崎南,大庄,282022,兵庫県,尼崎市,大島３丁目,2022[sanitize]03[sanitize]30,18,道路上,女性,65[sanitize]69歳,なし
窃盗,ひったくり,尼崎南,東難波,282022,兵庫県,尼崎市,東難波町４丁目,2022[sanitize]11[sanitize]04,10,道路上,女性,30歳代,あり
窃盗,ひったくり,尼崎南,竹谷,282022,兵庫県,尼崎市,北竹谷町２丁目,2022[sanitize]11[sanitize]16,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,伊丹,中野,282073,兵庫県,伊丹市,中野東１丁目,2022[sanitize]10[sanitize]07,17,道路上,女性,30歳代,なし
窃盗,ひったくり,宝塚,小浜,282146,兵庫県,宝塚市,今里町,2022[sanitize]05[sanitize]02,09,道路上,女性,40歳代,あり
窃盗,ひったくり,高砂,阿弥陀,282162,兵庫県,高砂市,阿弥陀町北池,2022[sanitize]01[sanitize]12,13,道路上,女性,10歳未満,あり
窃盗,ひったくり,姫路,野里駅前,282014,兵庫県,姫路市,増位本町１丁目,2022[sanitize]09[sanitize]04,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,飾磨,今宿,282014,兵庫県,姫路市,東今宿６丁目,2022[sanitize]12[sanitize]19,15,道路上,男性,10歳代,なし
窃盗,ひったくり,赤穂,塩屋,282120,兵庫県,赤穂市,磯浜町,2022[sanitize]07[sanitize]13,12,道路上,女性,70歳以上,あり
