罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,小野,下来住,282189,兵庫県,小野市,下来住町,2025/1/19,19,その他,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,三田,あいの里,282197,兵庫県,三田市,下相野,2025/9/30,7,その他,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,三田,ウッディタウン中央,282197,兵庫県,三田市,学園３丁目,2024/9/28,20,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,三田,フラワータウン,282197,兵庫県,三田市,武庫が丘７丁目,2023/3/10,不明,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,三田,加茂,282197,兵庫県,三田市,加茂,2025/5/6,0,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町４丁目,2025/1/25,19,駐車（輪）場,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町４丁目,2025/5/6,7,駐車（輪）場,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町４丁目,2025/11/11,6,その他,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,2025/10/20,8,駐車（輪）場,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,森,281018,兵庫県,神戸市東灘区,森北町１丁目,2025/11/10,14,駐車（輪）場,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影石町１丁目,2025/4/21,17,駐車（輪）場,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影石町３丁目,2025/8/22,4,４階建て以上共同住宅,その他,キーあり,なし,その他
窃盗,オートバイ盗,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影中町３丁目,2025/6/24,12,駐車（輪）場,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影中町５丁目,2025/6/23,21,その他,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町３丁目,2024/12/26,18,駐車（輪）場,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町３丁目,2024/12/26,19,駐車（輪）場,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町３丁目,2025/1/24,17,その他,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,2025/1/25,6,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,2025/1/26,16,その他,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町１丁目,2025/7/7,9,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山中町４丁目,2025/2/13,20,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,阪急御影駅前,281018,兵庫県,神戸市東灘区,御影石町２丁目,2025/8/29,17,駐車（輪）場,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木１丁目,2025/4/8,0,駐車（輪）場,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木１丁目,2025/5/26,5,駐車（輪）場,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木２丁目,2025/4/8,16,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木２丁目,2025/4/18,13,その他,その他,キーあり,あり,その他
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木２丁目,2025/6/20,6,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎北町４丁目,2025/8/13,4,道路上,その他,キーあり,なし,その他
窃盗,オートバイ盗,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町２丁目,2025/5/5,16,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,鴨子ヶ原,281018,兵庫県,神戸市東灘区,住吉山手７丁目,2025/11/7,22,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉本町１丁目,2024/12/27,15,その他,その他,キーあり,なし,その他
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,永手町４丁目,2025/1/17,18,道路上,その他,キーあり,なし,その他
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,宮山町１丁目,2025/9/20,8,その他,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,宮山町２丁目,2025/7/22,21,その他,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,宮山町２丁目,2025/10/16,20,その他,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,宮山町３丁目,2025/2/14,14,その他,その他,キーなし,なし,その他
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,宮山町３丁目,2025/6/10,10,その他,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,宮山町３丁目,2025/11/2,16,その他,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,八幡町１丁目,2025/5/8,1,その他の住宅（３階建て以下共同住宅等）,その他,キーあり,なし,その他
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,八幡町２丁目,2025/4/25,17,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,桜口町４丁目,2025/9/18,19,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,新在家北町１丁目,2024/9/23,18,その他,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,新在家南町１丁目,2025/7/27,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,新在家南町１丁目,2025/11/3,2,４階建て以上共同住宅,その他,キーなし,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,友田町２丁目,2025/12/22,14,４階建て以上共同住宅,その他,キーなし,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,友田町３丁目,2024/2/25,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,友田町３丁目,2025/6/27,21,道路上,その他,キーなし,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,友田町４丁目,2025/1/7,22,道路上,その他,キーあり,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,友田町５丁目,2025/6/12,15,その他,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,友田町５丁目,2025/8/21,7,道路上,その他,キーなし,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,友田町５丁目,2025/12/19,8,その他,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,浜田町２丁目,2024/12/30,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,備後町３丁目,2024/9/4,0,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,灘,水道筋,281026,兵庫県,神戸市灘区,水道筋５丁目,2024/11/10,16,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,灘,西灘,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2023/1/1,20,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,灘,西灘,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2025/2/8,9,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,灘,西灘,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2025/2/24,3,道路上,その他,キーあり,なし,その他
窃盗,オートバイ盗,灘,西灘,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2025/10/4,16,４階建て以上共同住宅,その他,キーなし,なし,その他
窃盗,オートバイ盗,灘,西灘,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2025/11/8,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,灘,赤坂,281026,兵庫県,神戸市灘区,国玉通４丁目,2024/7/28,8,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,その他
窃盗,オートバイ盗,灘,赤坂,281026,兵庫県,神戸市灘区,城の下通２丁目,2025/3/29,20,道路上,その他,キーなし,なし,その他
窃盗,オートバイ盗,灘,高羽徳井,281026,兵庫県,神戸市灘区,高羽町３丁目,2025/12/1,15,道路上,その他,キーなし,なし,その他
窃盗,オートバイ盗,灘,高羽徳井,281026,兵庫県,神戸市灘区,高羽町４丁目,2025/12/17,15,道路上,その他,キーあり,なし,その他
窃盗,オートバイ盗,灘,高羽徳井,281026,兵庫県,神戸市灘区,徳井町３丁目,2024/11/5,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,鶴甲４丁目,2025/9/27,21,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,六甲台町,2025/3/31,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,葺合,三宮センター,281107,兵庫県,神戸市中央区,雲井通８丁目,2025/2/10,13,道路上,その他,キーなし,なし,その他
窃盗,オートバイ盗,葺合,二宮,281107,兵庫県,神戸市中央区,生田町４丁目,2025/1/14,16,一戸建住宅,駐車（輪）場,キーあり,なし,その他
窃盗,オートバイ盗,葺合,宮本,281107,兵庫県,神戸市中央区,籠池通４丁目,2025/9/12,10,その他,駐車（輪）場,キーなし,なし,その他
窃盗,オートバイ盗,葺合,宮本,281107,兵庫県,神戸市中央区,神若通１丁目,2025/8/22,22,４階建て以上共同住宅,その他,キーなし,なし,その他
窃盗,オートバイ盗,葺合,宮本,281107,兵庫県,神戸市中央区,中島通３丁目,2025/9/24,18,駐車（輪）場,駐車（輪）場,キーあり,なし,その他
