罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,小野,小野駅前,282189,兵庫県,小野市,古川町,2016[sanitize]03[sanitize]23,00,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,三田,三田南,282197,兵庫県,三田市,相生町,2022[sanitize]01[sanitize]11,04,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,三田,上高平,282197,兵庫県,三田市,布木,2022[sanitize]08[sanitize]19,17,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,東灘,森,281018,兵庫県,神戸市東灘区,本庄町１丁目,2022[sanitize]02[sanitize]04,15,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,東灘,森,281018,兵庫県,神戸市東灘区,本庄町１丁目,2022[sanitize]02[sanitize]10,01,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町２丁目,2022[sanitize]05[sanitize]12,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町３丁目,2022[sanitize]04[sanitize]08,04,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,灘,六甲,281026,兵庫県,神戸市灘区,六甲町２丁目,2019[sanitize]03[sanitize]01,00,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,灘,西灘,281026,兵庫県,神戸市灘区,岩屋中町３丁目,2022[sanitize]02[sanitize]20,13,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,葺合,二宮,281107,兵庫県,神戸市中央区,琴ノ緒町１丁目,2022[sanitize]04[sanitize]01,13,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,葺合,二宮,281107,兵庫県,神戸市中央区,二宮町４丁目,2022[sanitize]05[sanitize]19,23,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,葺合,割塚,281107,兵庫県,神戸市中央区,日暮通４丁目,2022[sanitize]06[sanitize]11,01,道路上,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,駅前通４丁目,2022[sanitize]03[sanitize]18,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,兵庫,新開地,281051,兵庫県,神戸市兵庫区,湊町２丁目,2022[sanitize]02[sanitize]03,18,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,兵庫,湊川,281051,兵庫県,神戸市兵庫区,下沢通２丁目,2022[sanitize]08[sanitize]01,16,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,長田,大谷,281069,兵庫県,神戸市長田区,大谷町３丁目,2022[sanitize]01[sanitize]08,16,その他,その他,キーなし,なし,その他
窃盗,自動車盗,長田,長田,281069,兵庫県,神戸市長田区,西山町４丁目,2022[sanitize]10[sanitize]27,09,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,須磨,高倉台,281077,兵庫県,神戸市須磨区,高倉台８丁目,2022[sanitize]10[sanitize]09,10,道路上,その他,キーあり,あり,貨物自動車
窃盗,自動車盗,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,平磯３丁目,2022[sanitize]06[sanitize]19,08,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,垂水,新多聞,281085,兵庫県,神戸市垂水区,本多聞４丁目,2022[sanitize]07[sanitize]31,19,４階建て以上共同住宅,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,垂水,霞ヶ丘,281085,兵庫県,神戸市垂水区,五色山５丁目,2022[sanitize]11[sanitize]29,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,神戸西,上池,281115,兵庫県,神戸市西区,水谷１丁目,2022[sanitize]02[sanitize]10,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,神戸西,伊川谷,281115,兵庫県,神戸市西区,今寺,2022[sanitize]02[sanitize]03,18,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,神戸西,伊川谷,281115,兵庫県,神戸市西区,大津和２丁目,2022[sanitize]03[sanitize]27,16,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,神戸西,伊川谷,281115,兵庫県,神戸市西区,白水２丁目,2022[sanitize]11[sanitize]17,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,神戸西,古郷,281115,兵庫県,神戸市西区,竜が岡３丁目,2022[sanitize]08[sanitize]14,22,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,神戸西,学園駅前,281115,兵庫県,神戸市西区,学園西町７丁目,2022[sanitize]02[sanitize]01,23,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,神戸西,学園駅前,281115,兵庫県,神戸市西区,前開南町１丁目,2022[sanitize]02[sanitize]03,20,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,神戸西,有瀬,281115,兵庫県,神戸市西区,伊川谷町有瀬,2022[sanitize]12[sanitize]02,09,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,神戸西,櫨谷,281115,兵庫県,神戸市西区,櫨谷町福谷,2022[sanitize]10[sanitize]20,22,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,神戸西,竹の台,281115,兵庫県,神戸市西区,美賀多台２丁目,2022[sanitize]02[sanitize]04,19,一戸建住宅,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,神戸西,西戸田,281115,兵庫県,神戸市西区,平野町西戸田,2022[sanitize]05[sanitize]24,18,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,芦屋,浜芦屋,282065,兵庫県,芦屋市,松浜町,2022[sanitize]11[sanitize]24,08,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,西宮,今津駅前,282049,兵庫県,西宮市,今津水波町,2022[sanitize]05[sanitize]12,16,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,西宮,寿,282049,兵庫県,西宮市,城ケ堀町,2022[sanitize]12[sanitize]15,13,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,西宮,甲東園,282049,兵庫県,西宮市,段上町３丁目,2022[sanitize]05[sanitize]11,00,一戸建住宅,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,西宮,甲武橋,282049,兵庫県,西宮市,上大市４丁目,2022[sanitize]11[sanitize]17,22,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,西宮,甲陽園,282049,兵庫県,西宮市,獅子ケ口町,2022[sanitize]03[sanitize]09,17,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,西宮,芦原,282049,兵庫県,西宮市,神祇官町,2022[sanitize]05[sanitize]06,14,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,西宮,苦楽園,282049,兵庫県,西宮市,剣谷町,2022[sanitize]05[sanitize]28,02,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,西宮,西宮駅前,282049,兵庫県,西宮市,池田町,2022[sanitize]01[sanitize]29,23,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,甲子園,上甲子園,282049,兵庫県,西宮市,甲子園一番町,2022[sanitize]12[sanitize]22,01,一戸建住宅,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,甲子園,上甲子園,282049,兵庫県,西宮市,小曽根町２丁目,2022[sanitize]11[sanitize]14,17,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,甲子園,小松,282049,兵庫県,西宮市,小松北町１丁目,2022[sanitize]01[sanitize]17,19,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,甲子園,本郷,282049,兵庫県,西宮市,鳴尾町５丁目,2022[sanitize]12[sanitize]04,18,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,尼崎南,センタープール前,282022,兵庫県,尼崎市,武庫川町１丁目,2022[sanitize]08[sanitize]09,19,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,尼崎南,七松,282022,兵庫県,尼崎市,東七松町２丁目,2022[sanitize]07[sanitize]30,15,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,尼崎南,中央,282022,兵庫県,尼崎市,船出,2022[sanitize]01[sanitize]27,21,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,尼崎南,元浜,282022,兵庫県,尼崎市,元浜町１丁目,2022[sanitize]08[sanitize]20,04,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,尼崎南,大島,282022,兵庫県,尼崎市,稲葉荘２丁目,2022[sanitize]01[sanitize]22,20,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,尼崎南,大庄,282022,兵庫県,尼崎市,大庄中通１丁目,2022[sanitize]08[sanitize]30,02,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,尼崎南,大庄,282022,兵庫県,尼崎市,大庄中通１丁目,2022[sanitize]11[sanitize]02,01,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,尼崎南,大庄,282022,兵庫県,尼崎市,大庄中通１丁目,2022[sanitize]11[sanitize]05,10,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,尼崎南,大庄,282022,兵庫県,尼崎市,大庄中通３丁目,2022[sanitize]02[sanitize]01,21,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,尼崎南,御茶屋橋,282022,兵庫県,尼崎市,南城内,2022[sanitize]01[sanitize]25,20,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,尼崎南,稲葉荘,282022,兵庫県,尼崎市,稲葉元町２丁目,2022[sanitize]11[sanitize]08,18,駐車（輪）場,駐車（輪）場,キーあり,なし,その他
窃盗,自動車盗,尼崎南,稲葉荘,282022,兵庫県,尼崎市,稲葉元町３丁目,2022[sanitize]10[sanitize]20,20,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,尼崎南,竹谷,282022,兵庫県,尼崎市,西本町８丁目,2022[sanitize]09[sanitize]14,04,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,尼崎東,上坂部,282022,兵庫県,尼崎市,小中島１丁目,2022[sanitize]10[sanitize]27,19,道路上,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,尼崎東,園田駅前,282022,兵庫県,尼崎市,東園田町１丁目,2022[sanitize]12[sanitize]21,20,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
