罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木６丁目,20241203,20,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町３丁目,20240510,12,道路上,その他,あり
窃盗,自動販売機ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町４丁目,20240515,7,道路上,その他,あり
窃盗,自動販売機ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町１丁目,20240525,8,道路上,その他,あり
窃盗,自動販売機ねらい,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影塚町１丁目,20240115,12,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影塚町２丁目,20241205,17,道路上,その他,あり
窃盗,自動販売機ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,灘北通３丁目,20241128,11,道路上,その他,あり
窃盗,自動販売機ねらい,灘,琵琶町,281026,兵庫県,神戸市灘区,琵琶町３丁目,20241206,16,その他,その他,あり
窃盗,自動販売機ねらい,灘,西灘,281026,兵庫県,神戸市灘区,岩屋北町１丁目,20241203,12,道路上,その他,あり
窃盗,自動販売機ねらい,灘,西灘,281026,兵庫県,神戸市灘区,岩屋北町２丁目,20241209,8,その他,その他,あり
窃盗,自動販売機ねらい,灘,西灘,281026,兵庫県,神戸市灘区,摩耶埠頭,20240106,7,道路上,その他,あり
窃盗,自動販売機ねらい,灘,西灘,281026,兵庫県,神戸市灘区,摩耶埠頭,20240107,11,その他,その他,あり
窃盗,自動販売機ねらい,灘,西灘,281026,兵庫県,神戸市灘区,摩耶埠頭,20240611,8,道路上,その他,あり
窃盗,自動販売機ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,御幸通６丁目,20240617,21,その他,その他,あり
窃盗,自動販売機ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,磯上通４丁目,20240626,12,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,南本町通４丁目,20240625,15,道路上,その他,あり
窃盗,自動販売機ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,南本町通６丁目,20240615,8,道路上,その他,あり
窃盗,自動販売機ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通２丁目,20240628,14,その他,その他,なし
窃盗,自動販売機ねらい,生田,京町,281107,兵庫県,神戸市中央区,三宮町２丁目,20240820,14,その他,その他,あり
窃盗,自動販売機ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,上沢通３丁目,20240223,14,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,兵庫,大開,281051,兵庫県,神戸市兵庫区,羽坂通３丁目,20240111,9,道路上,その他,あり
窃盗,自動販売機ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,東柳原町,20241018,15,その他,その他,あり
窃盗,自動販売機ねらい,長田,湊川大橋,281069,兵庫県,神戸市長田区,苅藻通２丁目,20240131,15,駐車（輪）場,駐車（輪）場,なし
窃盗,自動販売機ねらい,長田,新長田駅前,281069,兵庫県,神戸市長田区,日吉町４丁目,20241210,11,道路上,その他,あり
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,久保町３丁目,20241217,12,その他,その他,あり
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,駒ケ林町３丁目,20241205,8,その他,その他,あり
窃盗,自動販売機ねらい,長田,野田,281069,兵庫県,神戸市長田区,日吉町６丁目,20241214,12,道路上,その他,あり
窃盗,自動販売機ねらい,須磨,東須磨,281077,兵庫県,神戸市須磨区,松風町６丁目,20240826,23,道路上,その他,なし
窃盗,自動販売機ねらい,垂水,塩屋,281085,兵庫県,神戸市垂水区,塩屋町１丁目,20240415,11,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,垂水,名谷,281085,兵庫県,神戸市垂水区,名谷町字猿倉,20240409,11,道路上,その他,あり
窃盗,自動販売機ねらい,垂水,霞ヶ丘,281085,兵庫県,神戸市垂水区,霞ケ丘４丁目,20241017,9,道路上,その他,あり
窃盗,自動販売機ねらい,垂水,多聞,281085,兵庫県,神戸市垂水区,小束台,20240404,15,道路上,その他,あり
窃盗,自動販売機ねらい,垂水,青山台,281085,兵庫県,神戸市垂水区,下畑町字口唐戸,20241118,9,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,神戸水上,新港,281107,兵庫県,神戸市中央区,新港町,20240520,21,その他,その他,あり
窃盗,自動販売機ねらい,有馬,有野,281093,兵庫県,神戸市北区,有野町　有野,20231215,10,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,有馬,道場,281093,兵庫県,神戸市北区,有野町　二郎,20240511,21,その他,その他,あり
窃盗,自動販売機ねらい,有馬,上八多,281093,兵庫県,神戸市北区,八多町　屏風,20240527,17,その他,その他,なし
窃盗,自動販売機ねらい,芦屋,業平橋,282065,兵庫県,芦屋市,茶屋之町,20241129,11,道路上,その他,あり
窃盗,自動販売機ねらい,芦屋,宮川,282065,兵庫県,芦屋市,春日町,20241204,4,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,西宮,札場筋,282049,兵庫県,西宮市,六湛寺町,20240523,11,道路上,その他,あり
窃盗,自動販売機ねらい,西宮,札場筋,282049,兵庫県,西宮市,六湛寺町,20240707,22,その他,その他,あり
窃盗,自動販売機ねらい,西宮,川添,282049,兵庫県,西宮市,前浜町,20240708,14,その他,その他,あり
窃盗,自動販売機ねらい,西宮,西宮浜,282049,兵庫県,西宮市,西宮浜２丁目,20240320,13,道路上,その他,あり
窃盗,自動販売機ねらい,西宮,西宮駅前,282049,兵庫県,西宮市,津門大塚町,20240315,19,その他,その他,あり
窃盗,自動販売機ねらい,西宮,今津駅前,282049,兵庫県,西宮市,津門川町,20241128,11,道路上,その他,あり
窃盗,自動販売機ねらい,西宮,社前,282049,兵庫県,西宮市,今津　出在家町,20240726,15,その他,その他,あり
窃盗,自動販売機ねらい,西宮,社前,282049,兵庫県,西宮市,今津　二葉町,20241118,13,その他,その他,あり
窃盗,自動販売機ねらい,西宮,社前,282049,兵庫県,西宮市,津門住江町,20240815,15,道路上,その他,あり
窃盗,自動販売機ねらい,西宮,上之町,282049,兵庫県,西宮市,薬師町,20240422,18,その他,その他,あり
窃盗,自動販売機ねらい,西宮,上ヶ原,282049,兵庫県,西宮市,上甲東園２丁目,20230414,13,その他,その他,あり
窃盗,自動販売機ねらい,甲子園,小松,282049,兵庫県,西宮市,上鳴尾町,20241114,17,その他,その他,あり
窃盗,自動販売機ねらい,甲子園,小松,282049,兵庫県,西宮市,甲子園六番町,20241122,16,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,甲子園,小松,282049,兵庫県,西宮市,小松西町１丁目,20240823,12,道路上,その他,あり
窃盗,自動販売機ねらい,甲子園,小松,282049,兵庫県,西宮市,小松南町１丁目,20241118,16,道路上,その他,あり
窃盗,自動販売機ねらい,甲子園,上田,282049,兵庫県,西宮市,笠屋町,20240219,6,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,甲子園,中津,282049,兵庫県,西宮市,甲子園高潮町,20240916,22,その他,その他,あり
窃盗,自動販売機ねらい,甲子園,高須,282049,兵庫県,西宮市,鳴尾浜３丁目,20240507,15,その他,その他,あり
窃盗,自動販売機ねらい,尼崎南,出屋敷,282022,兵庫県,尼崎市,西向島町,20240531,21,その他,その他,あり
窃盗,自動販売機ねらい,尼崎南,出屋敷,282022,兵庫県,尼崎市,南竹谷町１丁目,20241112,15,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎南,中央,282022,兵庫県,尼崎市,大高洲町,20240329,19,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎南,中央,282022,兵庫県,尼崎市,大高洲町,20240526,1,その他,その他,あり
窃盗,自動販売機ねらい,尼崎南,中央,282022,兵庫県,尼崎市,大高洲町,20240525,23,その他,その他,あり
窃盗,自動販売機ねらい,尼崎南,中央,282022,兵庫県,尼崎市,東海岸町,20240526,6,その他,その他,あり
