罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,灘,西灘,281026,兵庫県,神戸市灘区,岩屋北町７丁目,20241227,5,その他,男性,10歳代,なし
窃盗,ひったくり,葺合,三宮センター,281107,兵庫県,神戸市中央区,八幡通４丁目,20240111,0,道路上,女性,40歳代,あり
窃盗,ひったくり,生田,生田前,281107,兵庫県,神戸市中央区,加納町４丁目,20241222,22,道路上,女性,20歳代,なし
窃盗,ひったくり,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通１丁目,20240407,11,その他,男性,40歳代,あり
窃盗,ひったくり,兵庫,荒田,281051,兵庫県,神戸市兵庫区,荒田町２丁目,20240207,22,道路上,女性,40歳代,あり
窃盗,ひったくり,兵庫,湊川,281051,兵庫県,神戸市兵庫区,新開地１丁目,20241003,21,その他,男性,50歳代,あり
窃盗,ひったくり,兵庫,湊川,281051,兵庫県,神戸市兵庫区,東山町１丁目,20241222,20,道路上,男性,60-64歳,あり
窃盗,ひったくり,長田,大谷,281069,兵庫県,神戸市長田区,御船通１丁目,20240530,21,その他,女性,20歳代,あり
窃盗,ひったくり,長田,久保,281069,兵庫県,神戸市長田区,二葉町６丁目,20240525,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,神戸西,栄,281115,兵庫県,神戸市西区,押部谷町　西盛,20240125,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,神戸北,日の峰,281093,兵庫県,神戸市北区,日の峰２丁目,20240419,14,道路上,男性,40歳代,あり
窃盗,ひったくり,西宮,札場筋,282049,兵庫県,西宮市,六湛寺町,20240321,6,道路上,女性,70歳以上,あり
窃盗,ひったくり,尼崎南,東難波,282022,兵庫県,尼崎市,東難波町５丁目,20240617,11,道路上,男性,70歳以上,なし
窃盗,ひったくり,尼崎南,中央,282022,兵庫県,尼崎市,西御園町,20241125,6,道路上,男性,65-69歳,なし
窃盗,ひったくり,尼崎東,杭瀬,282022,兵庫県,尼崎市,杭瀬北新町３丁目,20240616,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,尼崎東,潮江,282022,兵庫県,尼崎市,潮江１丁目,20240917,18,道路上,男性,20歳代,あり
窃盗,ひったくり,尼崎東,下坂部,282022,兵庫県,尼崎市,久々知１丁目,20240223,20,道路上,男性,70歳以上,あり
窃盗,ひったくり,尼崎北,塚口東,282022,兵庫県,尼崎市,塚口本町６丁目,20240105,16,道路上,男性,10歳代,あり
窃盗,ひったくり,尼崎北,南武庫之荘,282022,兵庫県,尼崎市,南武庫之荘８丁目,20240503,0,その他,男性,30歳代,あり
窃盗,ひったくり,加古川,野口,282103,兵庫県,加古川市,平岡町　新在家,20240916,19,その他,男性,70歳以上,あり
窃盗,ひったくり,加古川,新神野,282103,兵庫県,加古川市,新神野５丁目,20240920,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,姫路,城南,282014,兵庫県,姫路市,魚町,20240817,20,道路上,男性,70歳以上,あり
窃盗,ひったくり,たつの,本龍野駅前,282294,兵庫県,たつの市,龍野町　堂本,20240924,17,道路上,女性,70歳以上,あり
