罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,小野,小野駅前,282189,兵庫県,小野市,西本町,2023[sanitize]09[sanitize]18,19,その他,その他,あり
窃盗,自動販売機ねらい,三田,三田南,282197,兵庫県,三田市,狭間が丘１丁目,2023[sanitize]07[sanitize]22,12,その他,その他,あり
窃盗,自動販売機ねらい,三田,三田南,282197,兵庫県,三田市,天神２丁目,2023[sanitize]05[sanitize]09,17,その他,その他,あり
窃盗,自動販売機ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,2023[sanitize]01[sanitize]04,08,その他,その他,あり
窃盗,自動販売機ねらい,東灘,深江,281018,兵庫県,神戸市東灘区,深江浜町,2023[sanitize]03[sanitize]24,15,道路上,その他,あり
窃盗,自動販売機ねらい,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影塚町４丁目,2023[sanitize]10[sanitize]07,13,その他,その他,あり
窃盗,自動販売機ねらい,灘,赤坂,281026,兵庫県,神戸市灘区,城の下通１丁目,2023[sanitize]05[sanitize]30,11,その他,その他,あり
窃盗,自動販売機ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,雲井通７丁目,2023[sanitize]04[sanitize]20,09,その他,その他,あり
窃盗,自動販売機ねらい,葺合,春日野,281107,兵庫県,神戸市中央区,脇浜町２丁目,2023[sanitize]03[sanitize]10,11,その他,その他,あり
窃盗,自動販売機ねらい,葺合,ＨＡＴ神戸,281107,兵庫県,神戸市中央区,脇浜海岸通２丁目,2023[sanitize]11[sanitize]14,17,その他,その他,あり
窃盗,自動販売機ねらい,生田,ハーバーランド,281107,兵庫県,神戸市中央区,東川崎町１丁目,2023[sanitize]11[sanitize]26,09,その他,その他,あり
窃盗,自動販売機ねらい,生田,京町,281107,兵庫県,神戸市中央区,三宮町１丁目,2023[sanitize]12[sanitize]14,14,その他,その他,なし
窃盗,自動販売機ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,七宮町１丁目,2023[sanitize]09[sanitize]12,15,道路上,その他,あり
窃盗,自動販売機ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,島上町１丁目,2023[sanitize]10[sanitize]17,12,その他,その他,あり
窃盗,自動販売機ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,永沢町４丁目,2023[sanitize]03[sanitize]14,15,道路上,その他,あり
窃盗,自動販売機ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,水木通１丁目,2023[sanitize]09[sanitize]06,19,その他,その他,あり
窃盗,自動販売機ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,水木通８丁目,2023[sanitize]09[sanitize]16,17,その他,その他,あり
窃盗,自動販売機ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,水木通８丁目,2023[sanitize]11[sanitize]02,18,その他,その他,あり
窃盗,自動販売機ねらい,兵庫,荒田,281051,兵庫県,神戸市兵庫区,荒田町１丁目,2023[sanitize]08[sanitize]14,09,駐車（輪）場,駐車（輪）場,なし
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,腕塚町２丁目,2023[sanitize]06[sanitize]15,11,道路上,その他,あり
窃盗,自動販売機ねらい,長田,寺池,281069,兵庫県,神戸市長田区,寺池町１丁目,2023[sanitize]05[sanitize]10,10,その他,その他,あり
窃盗,自動販売機ねらい,長田,寺池,281069,兵庫県,神戸市長田区,房王寺町２丁目,2023[sanitize]06[sanitize]26,20,その他,その他,あり
窃盗,自動販売機ねらい,長田,湊川大橋,281069,兵庫県,神戸市長田区,東尻池町３丁目,2023[sanitize]11[sanitize]21,12,その他,その他,あり
窃盗,自動販売機ねらい,長田,野田,281069,兵庫県,神戸市長田区,長楽町３丁目,2023[sanitize]09[sanitize]07,17,その他,その他,あり
窃盗,自動販売機ねらい,須磨,千歳,281077,兵庫県,神戸市須磨区,大池町５丁目,2023[sanitize]08[sanitize]23,15,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,須磨,多井畑,281077,兵庫県,神戸市須磨区,多井畑字下川,2023[sanitize]09[sanitize]22,07,その他,その他,なし
窃盗,自動販売機ねらい,須磨,多井畑,281077,兵庫県,神戸市須磨区,多井畑東町,2023[sanitize]10[sanitize]06,04,道路上,その他,あり
窃盗,自動販売機ねらい,須磨,菅の台,281077,兵庫県,神戸市須磨区,友が丘９丁目,2023[sanitize]05[sanitize]06,15,その他,その他,あり
窃盗,自動販売機ねらい,須磨,菅の台,281077,兵庫県,神戸市須磨区,友が丘９丁目,2023[sanitize]10[sanitize]02,16,その他,その他,あり
窃盗,自動販売機ねらい,須磨,須磨駅前,281077,兵庫県,神戸市須磨区,須磨浦通４丁目,2023[sanitize]12[sanitize]05,09,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,須磨,須磨駅前,281077,兵庫県,神戸市須磨区,西須磨,2023[sanitize]09[sanitize]16,18,道路上,その他,なし
窃盗,自動販売機ねらい,垂水,北舞子,281085,兵庫県,神戸市垂水区,星陵台４丁目,2023[sanitize]06[sanitize]05,11,その他,その他,あり
窃盗,自動販売機ねらい,垂水,名谷,281085,兵庫県,神戸市垂水区,名谷町,2023[sanitize]08[sanitize]26,09,その他,その他,あり
窃盗,自動販売機ねらい,垂水,名谷,281085,兵庫県,神戸市垂水区,名谷町,2023[sanitize]09[sanitize]22,12,その他,その他,あり
窃盗,自動販売機ねらい,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,海岸通,2023[sanitize]06[sanitize]20,12,道路上,その他,あり
窃盗,自動販売機ねらい,垂水,新多聞,281085,兵庫県,神戸市垂水区,本多聞１丁目,2023[sanitize]10[sanitize]02,07,道路上,その他,あり
窃盗,自動販売機ねらい,垂水,新多聞,281085,兵庫県,神戸市垂水区,本多聞７丁目,2023[sanitize]09[sanitize]24,17,その他,その他,あり
窃盗,自動販売機ねらい,垂水,西舞子,281085,兵庫県,神戸市垂水区,清水が丘１丁目,2023[sanitize]10[sanitize]05,08,道路上,その他,あり
窃盗,自動販売機ねらい,垂水,西舞子,281085,兵庫県,神戸市垂水区,清水が丘２丁目,2023[sanitize]10[sanitize]24,22,道路上,その他,あり
窃盗,自動販売機ねらい,垂水,西舞子,281085,兵庫県,神戸市垂水区,西舞子３丁目,2023[sanitize]10[sanitize]08,13,その他,その他,なし
窃盗,自動販売機ねらい,垂水,西舞子,281085,兵庫県,神戸市垂水区,西舞子３丁目,2023[sanitize]10[sanitize]25,13,道路上,その他,なし
窃盗,自動販売機ねらい,垂水,西舞子,281085,兵庫県,神戸市垂水区,舞子陵,2023[sanitize]09[sanitize]19,10,その他,その他,あり
窃盗,自動販売機ねらい,神戸西,伊川谷,281115,兵庫県,神戸市西区,伊川谷町潤和,2023[sanitize]06[sanitize]08,11,道路上,その他,あり
窃盗,自動販売機ねらい,神戸西,伊川谷,281115,兵庫県,神戸市西区,伊川谷町潤和,2023[sanitize]07[sanitize]28,13,その他,その他,あり
窃盗,自動販売機ねらい,神戸西,伊川谷,281115,兵庫県,神戸市西区,伊川谷町潤和,2023[sanitize]08[sanitize]25,08,道路上,その他,あり
窃盗,自動販売機ねらい,神戸西,学園駅前,281115,兵庫県,神戸市西区,学園西町６丁目,2023[sanitize]05[sanitize]18,17,その他,その他,あり
窃盗,自動販売機ねらい,神戸西,学園駅前,281115,兵庫県,神戸市西区,学園西町６丁目,2023[sanitize]10[sanitize]01,12,その他,その他,あり
窃盗,自動販売機ねらい,有馬,二郎,281093,兵庫県,神戸市北区,有野町二郎,2023[sanitize]09[sanitize]17,18,その他,その他,あり
窃盗,自動販売機ねらい,神戸北,ひよどり台,281093,兵庫県,神戸市北区,しあわせの村,2023[sanitize]09[sanitize]24,08,その他,その他,あり
窃盗,自動販売機ねらい,芦屋,高浜,282065,兵庫県,芦屋市,新浜町,2023[sanitize]05[sanitize]13,17,その他,その他,あり
窃盗,自動販売機ねらい,芦屋,高浜,282065,兵庫県,芦屋市,浜風町,2023[sanitize]07[sanitize]14,21,その他,その他,あり
窃盗,自動販売機ねらい,芦屋,高浜,282065,兵庫県,芦屋市,若葉町,2023[sanitize]03[sanitize]20,21,その他,その他,あり
窃盗,自動販売機ねらい,芦屋,高浜,282065,兵庫県,芦屋市,涼風町,2023[sanitize]02[sanitize]17,22,その他,その他,あり
窃盗,自動販売機ねらい,芦屋,高浜,282065,兵庫県,芦屋市,陽光町,2023[sanitize]02[sanitize]19,16,その他,その他,あり
窃盗,自動販売機ねらい,西宮,川添,282049,兵庫県,西宮市,大浜町,2023[sanitize]08[sanitize]20,19,その他,その他,あり
窃盗,自動販売機ねらい,西宮,甲武橋,282049,兵庫県,西宮市,田近野町,2023[sanitize]06[sanitize]15,19,その他,その他,あり
窃盗,自動販売機ねらい,西宮,甲武橋,282049,兵庫県,西宮市,田近野町,2023[sanitize]06[sanitize]23,14,その他,その他,あり
窃盗,自動販売機ねらい,西宮,社前,282049,兵庫県,西宮市,今津久寿川町,2023[sanitize]02[sanitize]24,07,その他,その他,なし
窃盗,自動販売機ねらい,西宮,芦原,282049,兵庫県,西宮市,芦原町,2023[sanitize]10[sanitize]30,10,その他,その他,なし
窃盗,自動販売機ねらい,西宮,芦原,282049,兵庫県,西宮市,森下町,2023[sanitize]05[sanitize]18,03,その他,その他,なし
窃盗,自動販売機ねらい,西宮,苦楽園,282049,兵庫県,西宮市,苦楽園二番町,2023[sanitize]07[sanitize]29,16,その他,その他,あり
窃盗,自動販売機ねらい,西宮,西宮浜,282049,兵庫県,西宮市,西宮浜１丁目,2023[sanitize]08[sanitize]10,19,その他,その他,あり
窃盗,自動販売機ねらい,西宮,西宮浜,282049,兵庫県,西宮市,西宮浜１丁目,2023[sanitize]12[sanitize]07,07,道路上,その他,あり
