罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町１丁目,2020/3/19,18,その他,その他,あり
窃盗,自動販売機ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,灘北通４丁目,2020/3/10,18,その他,その他,あり
窃盗,自動販売機ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,灘北通４丁目,2020/4/10,18,その他,その他,あり
窃盗,自動販売機ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,灘北通５丁目,2020/2/12,18,その他,その他,あり
窃盗,自動販売機ねらい,灘,水道筋,281026,兵庫県,神戸市灘区,灘北通５丁目,2020/8/26,20,その他,その他,あり
窃盗,自動販売機ねらい,灘,ＨＡＴ神戸灘の浜,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2020/1/21,22,その他,その他,あり
窃盗,自動販売機ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,西出町１丁目,2020/8/16,13,道路上,その他,なし
窃盗,自動販売機ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,湊町１丁目,2020/8/29,0,その他,その他,なし
窃盗,自動販売機ねらい,兵庫,大開,281051,兵庫県,神戸市兵庫区,羽坂通３丁目,2020/1/8,21,道路上,その他,あり
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,南駒栄町,2020/1/10,23,その他,その他,あり
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,南駒栄町,2020/1/21,11,その他,その他,あり
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,南駒栄町,2020/1/24,19,その他,その他,あり
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,南駒栄町,2020/2/5,23,その他,その他,あり
窃盗,自動販売機ねらい,長田,久保,281069,兵庫県,神戸市長田区,南駒栄町,2020/11/21,18,その他,その他,あり
窃盗,自動販売機ねらい,須磨,板宿,281077,兵庫県,神戸市須磨区,禅昌寺町１丁目,2020/11/12,19,その他,その他,あり
窃盗,自動販売機ねらい,須磨,妙法寺,281077,兵庫県,神戸市須磨区,車字大道,2020/9/9,10,道路上,その他,あり
窃盗,自動販売機ねらい,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,海岸通,2020/1/25,10,その他,その他,あり
窃盗,自動販売機ねらい,神戸水上,新港,281107,兵庫県,神戸市中央区,新港町,2020/1/11,17,その他,その他,あり
窃盗,自動販売機ねらい,神戸水上,新港,281107,兵庫県,神戸市中央区,新港町,2020/2/26,12,その他,その他,あり
窃盗,自動販売機ねらい,神戸水上,新港,281107,兵庫県,神戸市中央区,新港町,2020/5/14,11,その他,その他,あり
窃盗,自動販売機ねらい,神戸水上,新港,281107,兵庫県,神戸市中央区,新港町,2020/10/15,21,その他,その他,あり
窃盗,自動販売機ねらい,神戸水上,新港,281107,兵庫県,神戸市中央区,新港町,2020/11/1,18,その他,その他,あり
窃盗,自動販売機ねらい,神戸西,古郷,281115,兵庫県,神戸市西区,岩岡町古郷,2020/10/8,20,その他,駐車（輪）場,あり
窃盗,自動販売機ねらい,神戸西,神出,281115,兵庫県,神戸市西区,神出町古神,2020/9/12,17,その他,その他,あり
窃盗,自動販売機ねらい,神戸西,神出,281115,兵庫県,神戸市西区,神出町古神,2020/11/27,15,その他,その他,あり
窃盗,自動販売機ねらい,神戸西,神出,281115,兵庫県,神戸市西区,神出町東,2020/4/7,12,道路上,その他,あり
窃盗,自動販売機ねらい,神戸西,栄,281115,兵庫県,神戸市西区,見津が丘５丁目,2020/2/4,19,その他,その他,あり
窃盗,自動販売機ねらい,神戸西,伊川谷,281115,兵庫県,神戸市西区,池上３丁目,2020/8/20,10,道路上,その他,あり
窃盗,自動販売機ねらい,神戸西,学園駅前,281115,兵庫県,神戸市西区,伊川谷町布施畑,2019/12/28,17,道路上,その他,あり
窃盗,自動販売機ねらい,神戸西,学園駅前,281115,兵庫県,神戸市西区,伊川谷町布施畑,2020/1/16,21,その他,その他,あり
窃盗,自動販売機ねらい,神戸西,学園駅前,281115,兵庫県,神戸市西区,伊川谷町布施畑,2020/9/9,17,道路上,その他,あり
窃盗,自動販売機ねらい,神戸西,枝吉,281115,兵庫県,神戸市西区,森友２丁目,2020/5/18,14,道路上,その他,あり
窃盗,自動販売機ねらい,有馬,有野,281093,兵庫県,神戸市北区,藤原台中町５丁目,2020/7/31,19,その他,その他,あり
窃盗,自動販売機ねらい,神戸北,北鈴蘭台,281093,兵庫県,神戸市北区,惣山町２丁目,2020/7/31,10,その他,その他,なし
窃盗,自動販売機ねらい,神戸北,五葉,281093,兵庫県,神戸市北区,山田町藍那字北ノ町,2020/2/14,12,その他,その他,あり
窃盗,自動販売機ねらい,神戸北,ひよどり台,281093,兵庫県,神戸市北区,ひよどり台南町２丁目,2020/5/13,14,その他,その他,なし
窃盗,自動販売機ねらい,芦屋,浜芦屋,282065,兵庫県,芦屋市,竹園町,2020/3/5,12,道路上,その他,あり
窃盗,自動販売機ねらい,西宮,寿,282049,兵庫県,西宮市,末広町,2020/4/28,10,道路上,その他,あり
窃盗,自動販売機ねらい,西宮,西宮駅前,282049,兵庫県,西宮市,津門大塚町,2020/3/31,21,その他,その他,あり
窃盗,自動販売機ねらい,西宮,甲武橋,282049,兵庫県,西宮市,段上町６丁目,2020/5/9,8,その他,その他,あり
窃盗,自動販売機ねらい,甲子園,上甲子園,282049,兵庫県,西宮市,甲子園口６丁目,2020/10/20,16,道路上,その他,あり
窃盗,自動販売機ねらい,甲子園,高須,282049,兵庫県,西宮市,鳴尾浜１丁目,2019/12/26,10,その他,その他,なし
窃盗,自動販売機ねらい,尼崎南,昭和通,282022,兵庫県,尼崎市,建家町,2020/5/25,10,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,尼崎南,中央,282022,兵庫県,尼崎市,東海岸町,2020/7/14,23,その他,その他,あり
窃盗,自動販売機ねらい,尼崎南,中央,282022,兵庫県,尼崎市,東海岸町,2020/7/20,14,道路上,その他,あり
窃盗,自動販売機ねらい,尼崎南,中央,282022,兵庫県,尼崎市,東海岸町,2020/7/24,20,その他,その他,あり
