罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,三田,あいの里,282197,兵庫県,三田市,藍本,2020/8/9,10,道路上,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,三田,四ツ辻,282197,兵庫県,三田市,東本庄,2020/5/15,17,その他,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,灘,六甲,281026,兵庫県,神戸市灘区,将軍通１丁目,2020/1/9,12,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,灘,桜口,281026,兵庫県,神戸市灘区,桜口町２丁目,2020/3/2,16,その他,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,生田,京町,281107,兵庫県,神戸市中央区,三宮町１丁目,2020/9/2,20,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,駅前通４丁目,2020/11/8,12,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,長田,御蔵,281069,兵庫県,神戸市長田区,北町２丁目,2020/11/28,22,道路上,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,須磨,板宿,281077,兵庫県,神戸市須磨区,前池町６丁目,2020/11/28,1,一戸建住宅,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,須磨,若宮,281077,兵庫県,神戸市須磨区,青葉町１丁目,2020/4/5,17,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,神戸西,古郷,281115,兵庫県,神戸市西区,岩岡町古郷,2020/4/26,18,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,神戸西,神出,281115,兵庫県,神戸市西区,神出町南,2020/5/29,15,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,神戸西,伊川谷,281115,兵庫県,神戸市西区,北別府４丁目,2020/3/5,21,その他,その他,キーあり,あり,乗用自動車
窃盗,自動車盗,神戸西,井吹台,281115,兵庫県,神戸市西区,井吹台北町２丁目,2020/9/10,21,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,,,,,,,2020/5/14,23,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,神戸北,山の街,281093,兵庫県,神戸市北区,山田町下谷上字梅木谷,2020/11/7,0,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,尼崎南,東難波,282022,兵庫県,尼崎市,東難波町５丁目,2020/12/18,20,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,尼崎南,稲葉荘,282022,兵庫県,尼崎市,稲葉元町２丁目,2020/2/22,20,駐車（輪）場,駐車（輪）場,キーあり,なし,なし
窃盗,自動車盗,尼崎東,下坂部,282022,兵庫県,尼崎市,下坂部４丁目,2020/2/28,21,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,尼崎東,上坂部,282022,兵庫県,尼崎市,東塚口町１丁目,2020/4/13,5,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,尼崎北,武庫之荘,282022,兵庫県,尼崎市,武庫之荘本町２丁目,2020/10/23,1,駐車（輪）場,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,伊丹,昆陽,282073,兵庫県,伊丹市,広畑１丁目,2020/5/25,12,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,伊丹,昆陽ノ里,282073,兵庫県,伊丹市,寺本４丁目,2020/6/22,18,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,宝塚,山本,282146,兵庫県,宝塚市,平井２丁目,2020/4/11,19,一戸建住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,篠山,篠山,282219,兵庫県,丹波篠山市,大沢,2020/1/21,22,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,篠山,篠山,282219,兵庫県,丹波篠山市,野尻,2020/4/15,18,一戸建住宅,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,篠山,河内,282219,兵庫県,丹波篠山市,川北新田,2020/10/18,17,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,丹波,下滝,282235,兵庫県,丹波市,山南町上滝,2020/3/31,2,その他,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,丹波,黒井,282235,兵庫県,丹波市,春日町野村,2020/6/26,9,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,明石,小久保,282031,兵庫県,明石市,和坂１丁目,2020/5/2,13,その他,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,明石,魚住,282031,兵庫県,明石市,魚住町長坂寺,2020/8/1,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,明石,東二見,282031,兵庫県,明石市,二見町東二見,2020/1/1,21,一戸建住宅,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,三木,大塚,282154,兵庫県,三木市,府内町,2020/2/5,17,その他,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,三木,本町,282154,兵庫県,三木市,福井,2020/5/16,17,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,三木,別所,282154,兵庫県,三木市,別所町高木,2020/3/15,11,その他,その他,キーあり,なし,特殊自動車
窃盗,自動車盗,三木,細川,282154,兵庫県,三木市,細川町高畑,2020/6/6,17,その他,駐車（輪）場,キーあり,なし,なし
窃盗,自動車盗,西脇,日野,282138,兵庫県,西脇市,市原町,2020/6/19,20,一戸建住宅,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,加古川,尾上,282103,兵庫県,加古川市,尾上町池田,2020/2/17,7,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,加古川,野口,282103,兵庫県,加古川市,野口町野口,2020/5/22,20,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,加古川,野口,282103,兵庫県,加古川市,平岡町山之上,2020/1/6,21,一戸建住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,加古川,別府,282103,兵庫県,加古川市,別府町新野辺,2020/8/8,19,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,加古川,東加古川,282103,兵庫県,加古川市,平岡町新在家,2019/11/11,0,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,加古川,土山,282103,兵庫県,加古川市,平岡町高畑,2020/5/5,12,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,加古川,土山,282103,兵庫県,加古川市,平岡町土山,2014/4/1,0,一戸建住宅,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,高砂,荒井,282162,兵庫県,高砂市,荒井町新浜２丁目,2020/11/3,13,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,高砂,伊保,282162,兵庫県,高砂市,高須,2020/8/13,6,道路上,その他,キーあり,なし,特殊自動車
窃盗,自動車盗,飾磨,飾磨東,282014,兵庫県,姫路市,飾磨区阿成鹿古,2020/9/5,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,飾磨,今宿,282014,兵庫県,姫路市,東今宿６丁目,2020/2/16,6,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,飾磨,御国野,282014,兵庫県,姫路市,四郷町明田,2018/12/29,9,その他,その他,キーあり,なし,その他
窃盗,自動車盗,飾磨,御国野,282014,兵庫県,姫路市,四郷町山脇,2020/7/25,8,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,網干,,282014,兵庫県,姫路市,上手野,2020/3/21,7,その他,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,網干,八幡,282014,兵庫県,姫路市,広畑区西蒲田,2019/3/14,17,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,洲本,鮎原,282057,兵庫県,洲本市,五色町鮎原塔下,2020/4/22,7,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,淡路,浦,282260,兵庫県,淡路市,大磯,2020/3/15,18,一戸建住宅,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,南あわじ,福井,282243,兵庫県,南あわじ市,賀集野田,2020/10/26,10,その他,駐車（輪）場,キーあり,なし,なし
窃盗,自動車盗,南あわじ,福井,282243,兵庫県,南あわじ市,賀集八幡,2020/5/28,13,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,小野,小野駅前,282189,兵庫県,小野市,神明町,2020/6/12,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,小野,小野駅前,282189,兵庫県,小野市,中町,2020/1/29,20,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,小野,小野駅前,282189,兵庫県,小野市,中町,2020/3/4,17,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,小野,小野駅前,282189,兵庫県,小野市,東本町,2020/7/13,22,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,三田,志手原,282197,兵庫県,三田市,大原,2020/2/25,21,一戸建住宅,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,三田,南ウッディタウン,282197,兵庫県,三田市,沢谷,2020/8/23,12,道路上,その他,キーなし,なし,乗用自動車
