market,tf,signal,dir,N,k_range,k_vol,H,n,mean_net_pct,win_rate,t_stat,excess_pct
BTCUSD,1h,capit,long,12,1.5,1.5,4,2374,-0.043539455896919266,0.5155855096882898,-1.2025701936101523,0.024127516283856038
BTCUSD,1h,capit,long,12,1.5,1.5,24,1614,-0.024378362302998134,0.5266418835192069,-0.2714074916606487,-0.11654456136214371
BTCUSD,1h,capit,short,12,1.5,1.5,4,2418,-0.17721972938395456,0.46153846153846156,-5.721562565733581,-0.04488670156472968
BTCUSD,1h,capit,short,12,1.5,1.5,24,1600,-0.4091318168598097,0.46,-4.604158247991337,-0.11696561780066395
BTCUSD,1h,wick,long,12,1.5,1.5,4,1983,-0.10164019980889025,0.4891578416540595,-2.9858363036949864,-0.033973227628114944
BTCUSD,1h,wick,long,12,1.5,1.5,24,1468,-0.13729667140188584,0.49659400544959126,-1.459826902826004,-0.22946287046103142
BTCUSD,1h,wick,short,12,1.5,1.5,4,1549,-0.21812534014702742,0.4234990316333118,-5.948737376763176,-0.08579231232780253
BTCUSD,1h,wick,short,12,1.5,1.5,24,1179,-0.2986091798629291,0.46140797285835455,-3.339827121016318,-0.0064429808037833325
BTCUSD,1h,capit,long,12,1.5,2.0,4,2155,-0.030251913755669785,0.5136890951276102,-0.8031403430175575,0.03741505842510551
BTCUSD,1h,capit,long,12,1.5,2.0,24,1503,-0.07411940900776935,0.520292747837658,-0.7988717104612708,-0.16628560806691495
BTCUSD,1h,capit,short,12,1.5,2.0,4,2145,-0.19327752755561622,0.45454545454545453,-5.932881071268834,-0.06094449973639135
BTCUSD,1h,capit,short,12,1.5,2.0,24,1474,-0.4944264295030364,0.4559023066485753,-5.476842706547415,-0.20226023044389063
BTCUSD,1h,wick,long,12,1.5,2.0,4,1711,-0.11838075292231558,0.4886031560490941,-3.1589514808637316,-0.05071378074154026
BTCUSD,1h,wick,long,12,1.5,2.0,24,1309,-0.18983197928734322,0.4912146676852559,-1.9294608860370595,-0.2819981783464888
BTCUSD,1h,wick,short,12,1.5,2.0,4,1338,-0.20926362213887184,0.4319880418535127,-5.241969678130111,-0.07693059431964695
BTCUSD,1h,wick,short,12,1.5,2.0,24,1046,-0.35068376416759145,0.4608030592734226,-3.7761564060114488,-0.05851756510844569
BTCUSD,1h,capit,long,12,1.5,3.0,4,1624,-0.033861545550777986,0.5043103448275862,-0.7574892196684979,0.03380542662999732
BTCUSD,1h,capit,long,12,1.5,3.0,24,1213,-0.18583780858288948,0.5045342126957956,-1.7600333330381956,-0.2780040076420351
BTCUSD,1h,capit,short,12,1.5,3.0,4,1584,-0.19735783261499648,0.44696969696969696,-5.449716461898724,-0.06502480479577163
BTCUSD,1h,capit,short,12,1.5,3.0,24,1191,-0.4593631426799078,0.45424013434089,-4.829058567352214,-0.16719694362076198
BTCUSD,1h,wick,long,12,1.5,3.0,4,1159,-0.11597673898609762,0.4771354616048318,-2.6204857183962127,-0.048309766805322306
BTCUSD,1h,wick,long,12,1.5,3.0,24,943,-0.22728214026030338,0.4941675503711559,-1.9875422380799932,-0.31944833931944894
BTCUSD,1h,wick,short,12,1.5,3.0,4,921,-0.15710746236086284,0.43431053203040176,-3.3369600187060846,-0.024774434541637996
BTCUSD,1h,wick,short,12,1.5,3.0,24,775,-0.36939295100005337,0.472258064516129,-3.4365570021768077,-0.07722675194090767
BTCUSD,1h,capit,long,12,2.0,1.5,4,1754,-0.05944874252332013,0.508551881413911,-1.393488268159349,0.008218229657455167
BTCUSD,1h,capit,long,12,2.0,1.5,24,1311,-0.08762237094010726,0.5232646834477498,-0.8787757826430779,-0.17978856999925283
BTCUSD,1h,capit,short,12,2.0,1.5,4,1683,-0.2580106635982239,0.44206773618538325,-7.09957841715388,-0.12567763577899904
BTCUSD,1h,capit,short,12,2.0,1.5,24,1237,-0.5572207706188916,0.44058205335489087,-5.75796955543222,-0.2650545715597459
BTCUSD,1h,wick,long,12,2.0,1.5,4,1102,-0.06715950251143869,0.49909255898366606,-1.5226398574709568,0.0005074696693366035
BTCUSD,1h,wick,long,12,2.0,1.5,24,919,-0.11383026302270868,0.5092491838955386,-0.9474462956554371,-0.20599646208185426
BTCUSD,1h,wick,short,12,2.0,1.5,4,880,-0.1975622663520079,0.42613636363636365,-3.869645062851026,-0.065229238532783
BTCUSD,1h,wick,short,12,2.0,1.5,24,746,-0.3178046268044313,0.467828418230563,-2.945477787396033,-0.02563842774528552
BTCUSD,1h,capit,long,12,2.0,2.0,4,1655,-0.038501290263741994,0.5063444108761329,-0.8868647768487478,0.029165681917033316
BTCUSD,1h,capit,long,12,2.0,2.0,24,1248,-0.10178446943932655,0.5216346153846154,-0.9998321322148684,-0.19395066849847212
BTCUSD,1h,capit,short,12,2.0,2.0,4,1570,-0.2572859258825001,0.4388535031847134,-6.903173825956859,-0.12495289806327517
BTCUSD,1h,capit,short,12,2.0,2.0,24,1171,-0.5322521299654928,0.4449188727583262,-5.42168271158629,-0.2400859309063471
BTCUSD,1h,wick,long,12,2.0,2.0,4,1014,-0.0866444203788061,0.4921104536489152,-1.8694705526430386,-0.018977448198030787
BTCUSD,1h,wick,long,12,2.0,2.0,24,857,-0.1571287188736808,0.5052508751458576,-1.2763113074475263,-0.24929491793282638
BTCUSD,1h,wick,short,12,2.0,2.0,4,807,-0.18753434044656753,0.436183395291202,-3.5156301796619727,-0.055201312627342625
BTCUSD,1h,wick,short,12,2.0,2.0,24,689,-0.32144979611360014,0.4760522496371553,-2.8646352473077266,-0.029283597054454408
BTCUSD,1h,capit,long,12,2.0,3.0,4,1358,-0.041100999106929756,0.5014727540500736,-0.8316918653996296,0.02656597307384554
BTCUSD,1h,capit,long,12,2.0,3.0,24,1069,-0.18639066007984825,0.5088868101028999,-1.6856290878014324,-0.2785568591389938
BTCUSD,1h,capit,short,12,2.0,3.0,4,1286,-0.24293052107629715,0.43779160186625193,-5.977052937794762,-0.1105974932570723
BTCUSD,1h,capit,short,12,2.0,3.0,24,1003,-0.5246833680582912,0.4426719840478564,-4.940797698139933,-0.23251716899914537
BTCUSD,1h,wick,long,12,2.0,3.0,4,781,-0.0933169829849713,0.47759282970550576,-1.7416953371744017,-0.025650010804196006
BTCUSD,1h,wick,long,12,2.0,3.0,24,685,-0.23064761802047304,0.49343065693430654,-1.7130465327985152,-0.32281381707961865
BTCUSD,1h,wick,short,12,2.0,3.0,4,633,-0.1296239927058331,0.44075829383886256,-2.214758681083555,0.0027090351133917667
BTCUSD,1h,wick,short,12,2.0,3.0,24,562,-0.2730811184515366,0.4786476868327402,-2.2168983986152933,0.01908508060760916
BTCUSD,1h,capit,long,12,3.0,1.5,4,823,-0.1445197254273063,0.4738760631834751,-2.2354068489984704,-0.07685275324653099
BTCUSD,1h,capit,long,12,3.0,1.5,24,718,-0.34737147880001135,0.48885793871866295,-2.638501480093954,-0.4395376778591569
BTCUSD,1h,capit,short,12,3.0,1.5,4,787,-0.22269872422388753,0.4383735705209657,-4.029136157014811,-0.09036569640466269
BTCUSD,1h,capit,short,12,3.0,1.5,24,682,-0.535748351257092,0.43548387096774194,-4.152303256105575,-0.2435821521979462
BTCUSD,1h,wick,long,12,3.0,1.5,4,365,0.001494360751925787,0.4876712328767123,0.02059304509736469,0.06916133293270108
BTCUSD,1h,wick,long,12,3.0,1.5,24,346,-0.16754235325664207,0.4913294797687861,-0.9521256656497898,-0.25970855231578766
BTCUSD,1h,wick,short,12,3.0,1.5,4,322,-0.11072851445871801,0.4472049689440994,-1.4169157151695173,0.021604513360506873
BTCUSD,1h,wick,short,12,3.0,1.5,24,306,-0.1861040895802256,0.4869281045751634,-1.037544092650985,0.10606210947892017
BTCUSD,1h,capit,long,12,3.0,2.0,4,816,-0.14548840802295746,0.4730392156862745,-2.2315879217069488,-0.07782143584218214
BTCUSD,1h,capit,long,12,3.0,2.0,24,713,-0.3433036799952769,0.48807854137447404,-2.6024054784577886,-0.4354698790544225
BTCUSD,1h,capit,short,12,3.0,2.0,4,773,-0.22987288602848832,0.4372574385510996,-4.152237337596273,-0.09753985820926347
BTCUSD,1h,capit,short,12,3.0,2.0,24,669,-0.540167282628739,0.4334828101644245,-4.124489357892832,-0.24800108356959333
BTCUSD,1h,wick,long,12,3.0,2.0,4,353,-0.0015246617651770184,0.47875354107648727,-0.020792022822429573,0.06614231041559827
BTCUSD,1h,wick,long,12,3.0,2.0,24,334,-0.1946139803745269,0.48502994011976047,-1.0746025857600712,-0.2867801794336725
